titleSlug,title,difficulty,acceptanceRate,paidOnly,topicTags,categorySlug
largest-sum-of-averages,Largest Sum of Averages,Medium,52.95376271,FALSE,"array,dynamic-programming,prefix-sum",algorithms
binary-tree-pruning,Binary Tree Pruning,Medium,72.40634331,FALSE,"tree,depth-first-search,binary-tree",algorithms
bus-routes,Bus Routes,Hard,45.60398147,FALSE,"array,hash-table,breadth-first-search",algorithms
ambiguous-coordinates,Ambiguous Coordinates,Medium,56.35333211,FALSE,"string,backtracking",algorithms
linked-list-components,Linked List Components,Medium,57.61563199,FALSE,"array,hash-table,linked-list",algorithms
race-car,Race Car,Hard,43.31762629,FALSE,dynamic-programming,algorithms
most-common-word,Most Common Word,Easy,44.7360209,FALSE,"hash-table,string,counting",algorithms
short-encoding-of-words,Short Encoding of Words,Medium,60.58354141,FALSE,"array,hash-table,string,trie",algorithms
shortest-distance-to-a-character,Shortest Distance to a Character,Easy,71.32367957,FALSE,"array,two-pointers,string",algorithms
card-flipping-game,Card Flipping Game,Medium,46.09873805,FALSE,"array,hash-table",algorithms
binary-trees-with-factors,Binary Trees With Factors,Medium,49.6843375,FALSE,"array,hash-table,dynamic-programming",algorithms
goat-latin,Goat Latin,Easy,67.9169501,FALSE,string,algorithms
friends-of-appropriate-ages,Friends Of Appropriate Ages,Medium,46.29305008,FALSE,"array,two-pointers,binary-search,sorting",algorithms
most-profit-assigning-work,Most Profit Assigning Work,Medium,44.91848769,FALSE,"array,two-pointers,binary-search,greedy,sorting",algorithms
making-a-large-island,Making A Large Island,Hard,44.90660276,FALSE,"array,depth-first-search,breadth-first-search,union-find,matrix",algorithms
count-unique-characters-of-all-substrings-of-a-given-string,Count Unique Characters of All Substrings of a Given String,Hard,51.62828734,FALSE,"hash-table,string,dynamic-programming",algorithms
consecutive-numbers-sum,Consecutive Numbers Sum,Hard,41.573482,FALSE,"math,enumeration",algorithms
positions-of-large-groups,Positions of Large Groups,Easy,51.82337793,FALSE,string,algorithms
masking-personal-information,Masking Personal Information,Medium,47.45575534,FALSE,string,algorithms
flipping-an-image,Flipping an Image,Easy,80.82305774,FALSE,"array,two-pointers,matrix,simulation",algorithms
find-and-replace-in-string,Find And Replace in String,Medium,53.97527782,FALSE,"array,string,sorting",algorithms
sum-of-distances-in-tree,Sum of Distances in Tree,Hard,59.16050821,FALSE,"dynamic-programming,tree,depth-first-search,graph",algorithms
image-overlap,Image Overlap,Medium,63.83267504,FALSE,"array,matrix",algorithms
rectangle-overlap,Rectangle Overlap,Easy,43.88903736,FALSE,"math,geometry",algorithms
new-21-game,New 21 Game,Medium,36.23176323,FALSE,"math,dynamic-programming,sliding-window,probability-and-statistics",algorithms
push-dominoes,Push Dominoes,Medium,56.97126457,FALSE,"two-pointers,string,dynamic-programming",algorithms
similar-string-groups,Similar String Groups,Hard,48.04937315,FALSE,"array,string,depth-first-search,breadth-first-search,union-find",algorithms
magic-squares-in-grid,Magic Squares In Grid,Medium,38.62270853,FALSE,"array,math,matrix",algorithms
keys-and-rooms,Keys and Rooms,Medium,71.55063004,FALSE,"depth-first-search,breadth-first-search,graph",algorithms
split-array-into-fibonacci-sequence,Split Array into Fibonacci Sequence,Medium,38.42393024,FALSE,"string,backtracking",algorithms
guess-the-word,Guess the Word,Hard,41.32354523,FALSE,"array,math,string,interactive,game-theory",algorithms
backspace-string-compare,Backspace String Compare,Easy,48.07287431,FALSE,"two-pointers,string,stack,simulation",algorithms
longest-mountain-in-array,Longest Mountain in Array,Medium,40.184928,FALSE,"array,two-pointers,dynamic-programming,enumeration",algorithms
hand-of-straights,Hand of Straights,Medium,56.12863549,FALSE,"array,hash-table,greedy,sorting",algorithms
shortest-path-visiting-all-nodes,Shortest Path Visiting All Nodes,Hard,60.87588429,FALSE,"dynamic-programming,bit-manipulation,breadth-first-search,graph,bitmask",algorithms
shifting-letters,Shifting Letters,Medium,45.12100913,FALSE,"array,string",algorithms
maximize-distance-to-closest-person,Maximize Distance to Closest Person,Medium,47.6292102,FALSE,array,algorithms
rectangle-area-ii,Rectangle Area II,Hard,53.88662762,FALSE,"array,segment-tree,line-sweep,ordered-set",algorithms
loud-and-rich,Loud and Rich,Medium,58.48196208,FALSE,"array,depth-first-search,graph,topological-sort",algorithms
peak-index-in-a-mountain-array,Peak Index in a Mountain Array,Medium,68.98426766,FALSE,"array,binary-search",algorithms
car-fleet,Car Fleet,Medium,50.31214143,FALSE,"array,stack,sorting,monotonic-stack",algorithms
k-similar-strings,K-Similar Strings,Hard,40.09581847,FALSE,"string,breadth-first-search",algorithms
exam-room,Exam Room,Medium,43.45840494,FALSE,"design,heap-priority-queue,ordered-set",algorithms
score-of-parentheses,Score of Parentheses,Medium,64.69664043,FALSE,"string,stack",algorithms
minimum-cost-to-hire-k-workers,Minimum Cost to Hire K Workers,Hard,52.18277274,FALSE,"array,greedy,sorting,heap-priority-queue",algorithms
mirror-reflection,Mirror Reflection,Medium,63.04933631,FALSE,"math,geometry,number-theory",algorithms
buddy-strings,Buddy Strings,Easy,29.18256513,FALSE,"hash-table,string",algorithms
lemonade-change,Lemonade Change,Easy,52.8499325,FALSE,"array,greedy",algorithms
score-after-flipping-matrix,Score After Flipping Matrix,Medium,74.84291577,FALSE,"array,greedy,bit-manipulation,matrix",algorithms
shortest-subarray-with-sum-at-least-k,Shortest Subarray with Sum at Least K,Hard,26.01405834,FALSE,"array,binary-search,queue,sliding-window,heap-priority-queue,prefix-sum,monotonic-queue",algorithms
all-nodes-distance-k-in-binary-tree,All Nodes Distance K in Binary Tree,Medium,62.2719678,FALSE,"tree,depth-first-search,breadth-first-search,binary-tree",algorithms
shortest-path-to-get-all-keys,Shortest Path to Get All Keys,Hard,45.51919502,FALSE,"array,bit-manipulation,breadth-first-search,matrix",algorithms
smallest-subtree-with-all-the-deepest-nodes,Smallest Subtree with all the Deepest Nodes,Medium,68.96686854,FALSE,"hash-table,tree,depth-first-search,breadth-first-search,binary-tree",algorithms
prime-palindrome,Prime Palindrome,Medium,25.76181068,FALSE,math,algorithms
transpose-matrix,Transpose Matrix,Easy,64.3363056,FALSE,"array,matrix,simulation",algorithms
binary-gap,Binary Gap,Easy,62.22888411,FALSE,bit-manipulation,algorithms
reordered-power-of-2,Reordered Power of 2,Medium,63.47706417,FALSE,"math,sorting,counting,enumeration",algorithms
advantage-shuffle,Advantage Shuffle,Medium,51.86531882,FALSE,"array,two-pointers,greedy,sorting",algorithms
minimum-number-of-refueling-stops,Minimum Number of Refueling Stops,Hard,39.79254501,FALSE,"array,dynamic-programming,greedy,heap-priority-queue",algorithms
leaf-similar-trees,Leaf-Similar Trees,Easy,67.61172796,FALSE,"tree,depth-first-search,binary-tree",algorithms
length-of-longest-fibonacci-subsequence,Length of Longest Fibonacci Subsequence,Medium,48.30977524,FALSE,"array,hash-table,dynamic-programming",algorithms
walking-robot-simulation,Walking Robot Simulation,Medium,39.03369562,FALSE,"array,simulation",algorithms
koko-eating-bananas,Koko Eating Bananas,Medium,52.09847159,FALSE,"array,binary-search",algorithms
middle-of-the-linked-list,Middle of the Linked List,Easy,75.71918916,FALSE,"linked-list,two-pointers",algorithms
stone-game,Stone Game,Medium,69.7561491,FALSE,"array,math,dynamic-programming,game-theory",algorithms
nth-magical-number,Nth Magical Number,Hard,35.35108185,FALSE,"math,binary-search",algorithms
profitable-schemes,Profitable Schemes,Hard,40.71706691,FALSE,"array,dynamic-programming",algorithms
decoded-string-at-index,Decoded String at Index,Medium,28.32678467,FALSE,"string,stack",algorithms
boats-to-save-people,Boats to Save People,Medium,55.77466692,FALSE,"array,two-pointers,greedy,sorting",algorithms
reachable-nodes-in-subdivided-graph,Reachable Nodes In Subdivided Graph,Hard,50.06015323,FALSE,"graph,heap-priority-queue,shortest-path",algorithms
projection-area-of-3d-shapes,Projection Area of 3D Shapes,Easy,71.32825161,FALSE,"array,math,geometry,matrix",algorithms
uncommon-words-from-two-sentences,Uncommon Words from Two Sentences,Easy,66.39136067,FALSE,"hash-table,string",algorithms
spiral-matrix-iii,Spiral Matrix III,Medium,73.50719202,FALSE,"array,matrix,simulation",algorithms
possible-bipartition,Possible Bipartition,Medium,50.03695716,FALSE,"depth-first-search,breadth-first-search,union-find,graph",algorithms
super-egg-drop,Super Egg Drop,Hard,27.1188762,FALSE,"math,binary-search,dynamic-programming",algorithms
fair-candy-swap,Fair Candy Swap,Easy,60.73426426,FALSE,"array,hash-table,binary-search,sorting",algorithms
construct-binary-tree-from-preorder-and-postorder-traversal,Construct Binary Tree from Preorder and Postorder Traversal,Medium,71.01694506,FALSE,"array,hash-table,divide-and-conquer,tree,binary-tree",algorithms
find-and-replace-pattern,Find and Replace Pattern,Medium,77.5049859,FALSE,"array,hash-table,string",algorithms
sum-of-subsequence-widths,Sum of Subsequence Widths,Hard,36.69047666,FALSE,"array,math,sorting",algorithms
surface-area-of-3d-shapes,Surface Area of 3D Shapes,Easy,64.08324701,FALSE,"array,math,geometry,matrix",algorithms
groups-of-special-equivalent-strings,Groups of Special-Equivalent Strings,Medium,71.11244967,FALSE,"array,hash-table,string",algorithms
all-possible-full-binary-trees,All Possible Full Binary Trees,Medium,79.95473626,FALSE,"dynamic-programming,tree,recursion,memoization,binary-tree",algorithms
maximum-frequency-stack,Maximum Frequency Stack,Hard,66.60024457,FALSE,"hash-table,stack,design,ordered-set",algorithms
monotonic-array,Monotonic Array,Easy,58.37482388,FALSE,array,algorithms
increasing-order-search-tree,Increasing Order Search Tree,Easy,78.37923554,FALSE,"stack,tree,depth-first-search,binary-search-tree,binary-tree",algorithms
bitwise-ors-of-subarrays,Bitwise ORs of Subarrays,Medium,37.25799026,FALSE,"array,dynamic-programming,bit-manipulation",algorithms
orderly-queue,Orderly Queue,Hard,66.19626197,FALSE,"math,string,sorting",algorithms
rle-iterator,RLE Iterator,Medium,59.40928665,FALSE,"array,design,counting,iterator",algorithms
online-stock-span,Online Stock Span,Medium,65.24712981,FALSE,"stack,design,monotonic-stack,data-stream",algorithms
numbers-at-most-n-given-digit-set,Numbers At Most N Given Digit Set,Hard,41.46473085,FALSE,"array,math,string,binary-search,dynamic-programming",algorithms
valid-permutations-for-di-sequence,Valid Permutations for DI Sequence,Hard,57.61792651,FALSE,dynamic-programming,algorithms
fruit-into-baskets,Fruit Into Baskets,Medium,43.70296839,FALSE,"array,hash-table,sliding-window",algorithms
sort-array-by-parity,Sort Array By Parity,Easy,75.57889533,FALSE,"array,two-pointers,sorting",algorithms
super-palindromes,Super Palindromes,Hard,38.89175612,FALSE,"math,enumeration",algorithms
sum-of-subarray-minimums,Sum of Subarray Minimums,Medium,35.74246043,FALSE,"array,dynamic-programming,stack,monotonic-stack",algorithms
smallest-range-i,Smallest Range I,Easy,68.28601532,FALSE,"array,math",algorithms
snakes-and-ladders,Snakes and Ladders,Medium,45.09576397,FALSE,"array,breadth-first-search,matrix",algorithms
smallest-range-ii,Smallest Range II,Medium,35.23095884,FALSE,"array,math,greedy,sorting",algorithms
online-election,Online Election,Medium,52.16555299,FALSE,"array,hash-table,binary-search,design",algorithms
sort-an-array,Sort an Array,Medium,59.42098014,FALSE,"array,divide-and-conquer,sorting,heap-priority-queue,merge-sort,bucket-sort,radix-sort,counting-sort",algorithms
cat-and-mouse,Cat and Mouse,Hard,34.81782198,FALSE,"math,dynamic-programming,graph,topological-sort,memoization,game-theory",algorithms
x-of-a-kind-in-a-deck-of-cards,X of a Kind in a Deck of Cards,Easy,31.11989082,FALSE,"array,hash-table,math,counting,number-theory",algorithms
partition-array-into-disjoint-intervals,Partition Array into Disjoint Intervals,Medium,48.49821192,FALSE,array,algorithms
word-subsets,Word Subsets,Medium,53.70378642,FALSE,"array,hash-table,string",algorithms
reverse-only-letters,Reverse Only Letters,Easy,62.15066898,FALSE,"two-pointers,string",algorithms
maximum-sum-circular-subarray,Maximum Sum Circular Subarray,Medium,42.97349379,FALSE,"array,divide-and-conquer,dynamic-programming,queue,monotonic-queue",algorithms
complete-binary-tree-inserter,Complete Binary Tree Inserter,Medium,65.13093666,FALSE,"tree,breadth-first-search,design,binary-tree",algorithms
number-of-music-playlists,Number of Music Playlists,Hard,50.72711719,FALSE,"math,dynamic-programming,combinatorics",algorithms
minimum-add-to-make-parentheses-valid,Minimum Add to Make Parentheses Valid,Medium,75.68523984,FALSE,"string,stack,greedy",algorithms
sort-array-by-parity-ii,Sort Array By Parity II,Easy,70.65322573,FALSE,"array,two-pointers,sorting",algorithms
3sum-with-multiplicity,3Sum With Multiplicity,Medium,45.30164828,FALSE,"array,hash-table,two-pointers,sorting,counting",algorithms
minimize-malware-spread,Minimize Malware Spread,Hard,42.1181235,FALSE,"array,depth-first-search,breadth-first-search,union-find,matrix",algorithms
long-pressed-name,Long Pressed Name,Easy,33.06892632,FALSE,"two-pointers,string",algorithms
flip-string-to-monotone-increasing,Flip String to Monotone Increasing,Medium,61.46263922,FALSE,"string,dynamic-programming",algorithms
three-equal-parts,Three Equal Parts,Hard,39.55783375,FALSE,"array,math",algorithms
minimize-malware-spread-ii,Minimize Malware Spread II,Hard,42.76611084,FALSE,"array,depth-first-search,breadth-first-search,union-find,matrix",algorithms
unique-email-addresses,Unique Email Addresses,Easy,67.0934048,FALSE,"array,hash-table,string",algorithms
binary-subarrays-with-sum,Binary Subarrays With Sum,Medium,52.25526778,FALSE,"array,hash-table,sliding-window,prefix-sum",algorithms
minimum-falling-path-sum,Minimum Falling Path Sum,Medium,69.10917023,FALSE,"array,dynamic-programming,matrix",algorithms
beautiful-array,Beautiful Array,Medium,65.21753401,FALSE,"array,math,divide-and-conquer",algorithms
number-of-recent-calls,Number of Recent Calls,Easy,73.15254763,FALSE,"design,queue,data-stream",algorithms
shortest-bridge,Shortest Bridge,Medium,54.36553781,FALSE,"array,depth-first-search,breadth-first-search,matrix",algorithms
knight-dialer,Knight Dialer,Medium,50.5655383,FALSE,dynamic-programming,algorithms
stamping-the-sequence,Stamping The Sequence,Hard,62.79871093,FALSE,"string,stack,greedy,queue",algorithms
reorder-data-in-log-files,Reorder Data in Log Files,Medium,56.39068573,FALSE,"array,string,sorting",algorithms
range-sum-of-bst,Range Sum of BST,Easy,85.86242651,FALSE,"tree,depth-first-search,binary-search-tree,binary-tree",algorithms
minimum-area-rectangle,Minimum Area Rectangle,Medium,52.93869657,FALSE,"array,hash-table,math,geometry,sorting",algorithms
distinct-subsequences-ii,Distinct Subsequences II,Hard,43.86684967,FALSE,"string,dynamic-programming",algorithms
valid-mountain-array,Valid Mountain Array,Easy,33.3951823,FALSE,array,algorithms
di-string-match,DI String Match,Easy,77.39403361,FALSE,"array,two-pointers,string,greedy",algorithms
find-the-shortest-superstring,Find the Shortest Superstring,Hard,44.41577085,FALSE,"array,string,dynamic-programming,bit-manipulation,bitmask",algorithms
delete-columns-to-make-sorted,Delete Columns to Make Sorted,Easy,74.78300193,FALSE,"array,string",algorithms
minimum-increment-to-make-array-unique,Minimum Increment to Make Array Unique,Medium,51.20749171,FALSE,"array,greedy,sorting,counting",algorithms
validate-stack-sequences,Validate Stack Sequences,Medium,69.42276717,FALSE,"array,stack,simulation",algorithms
most-stones-removed-with-same-row-or-column,Most Stones Removed with Same Row or Column,Medium,58.89076455,FALSE,"depth-first-search,union-find,graph",algorithms
bag-of-tokens,Bag of Tokens,Medium,52.09556716,FALSE,"array,two-pointers,greedy,sorting",algorithms
largest-time-for-given-digits,Largest Time for Given Digits,Medium,35.15638979,FALSE,"string,enumeration",algorithms
reveal-cards-in-increasing-order,Reveal Cards In Increasing Order,Medium,77.75197938,FALSE,"array,queue,sorting,simulation",algorithms
flip-equivalent-binary-trees,Flip Equivalent Binary Trees,Medium,66.79344024,FALSE,"tree,depth-first-search,binary-tree",algorithms
largest-component-size-by-common-factor,Largest Component Size by Common Factor,Hard,39.98014571,FALSE,"array,math,union-find",algorithms
verifying-an-alien-dictionary,Verifying an Alien Dictionary,Easy,54.48252015,FALSE,"array,hash-table,string",algorithms
array-of-doubled-pairs,Array of Doubled Pairs,Medium,39.05165172,FALSE,"array,hash-table,greedy,sorting",algorithms
delete-columns-to-make-sorted-ii,Delete Columns to Make Sorted II,Medium,34.70973255,FALSE,"array,string,greedy",algorithms
tallest-billboard,Tallest Billboard,Hard,39.78521416,FALSE,"array,dynamic-programming",algorithms
prison-cells-after-n-days,Prison Cells After N Days,Medium,39.04133174,FALSE,"array,hash-table,math,bit-manipulation",algorithms
check-completeness-of-a-binary-tree,Check Completeness of a Binary Tree,Medium,56.19103943,FALSE,"tree,breadth-first-search,binary-tree",algorithms
regions-cut-by-slashes,Regions Cut By Slashes,Medium,69.06079876,FALSE,"depth-first-search,breadth-first-search,union-find,graph",algorithms
delete-columns-to-make-sorted-iii,Delete Columns to Make Sorted III,Hard,57.16626867,FALSE,"array,string,dynamic-programming",algorithms
n-repeated-element-in-size-2n-array,N-Repeated Element in Size 2N Array,Easy,76.07405508,FALSE,"array,hash-table",algorithms
maximum-width-ramp,Maximum Width Ramp,Medium,48.83646718,FALSE,"array,stack,monotonic-stack",algorithms
minimum-area-rectangle-ii,Minimum Area Rectangle II,Medium,54.61017538,FALSE,"array,math,geometry",algorithms
least-operators-to-express-number,Least Operators to Express Number,Hard,47.87786921,FALSE,"math,dynamic-programming,memoization",algorithms
univalued-binary-tree,Univalued Binary Tree,Easy,69.7547484,FALSE,"tree,depth-first-search,breadth-first-search,binary-tree",algorithms
vowel-spellchecker,Vowel Spellchecker,Medium,51.40436257,FALSE,"array,hash-table,string",algorithms
numbers-with-same-consecutive-differences,Numbers With Same Consecutive Differences,Medium,57.41530284,FALSE,"backtracking,breadth-first-search",algorithms
binary-tree-cameras,Binary Tree Cameras,Hard,46.58335271,FALSE,"dynamic-programming,tree,depth-first-search,binary-tree",algorithms
pancake-sorting,Pancake Sorting,Medium,70.17206325,FALSE,"array,two-pointers,greedy,sorting",algorithms
powerful-integers,Powerful Integers,Medium,43.63288089,FALSE,"hash-table,math",algorithms
flip-binary-tree-to-match-preorder-traversal,Flip Binary Tree To Match Preorder Traversal,Medium,50.03115427,FALSE,"tree,depth-first-search,binary-tree",algorithms
equal-rational-numbers,Equal Rational Numbers,Hard,43.11932959,FALSE,"math,string",algorithms
k-closest-points-to-origin,K Closest Points to Origin,Medium,65.75768597,FALSE,"array,math,divide-and-conquer,geometry,sorting,heap-priority-queue,quickselect",algorithms
subarray-sums-divisible-by-k,Subarray Sums Divisible by K,Medium,54.33276139,FALSE,"array,hash-table,prefix-sum",algorithms
odd-even-jump,Odd Even Jump,Hard,38.90522543,FALSE,"array,dynamic-programming,stack,monotonic-stack,ordered-set",algorithms
largest-perimeter-triangle,Largest Perimeter Triangle,Easy,54.68536463,FALSE,"array,math,greedy,sorting",algorithms
squares-of-a-sorted-array,Squares of a Sorted Array,Easy,71.88958058,FALSE,"array,two-pointers,sorting",algorithms
longest-turbulent-subarray,Longest Turbulent Subarray,Medium,47.18792789,FALSE,"array,dynamic-programming,sliding-window",algorithms
distribute-coins-in-binary-tree,Distribute Coins in Binary Tree,Medium,72.22978997,FALSE,"tree,depth-first-search,binary-tree",algorithms
unique-paths-iii,Unique Paths III,Hard,81.72752948,FALSE,"array,backtracking,bit-manipulation,matrix",algorithms
time-based-key-value-store,Time Based Key-Value Store,Medium,52.17501019,FALSE,"hash-table,string,binary-search,design",algorithms
triples-with-bitwise-and-equal-to-zero,Triples with Bitwise AND Equal To Zero,Hard,57.47082162,FALSE,"array,hash-table,bit-manipulation",algorithms
minimum-cost-for-tickets,Minimum Cost For Tickets,Medium,65.83324277,FALSE,"array,dynamic-programming",algorithms
string-without-aaa-or-bbb,String Without AAA or BBB,Medium,43.21869461,FALSE,"string,greedy",algorithms
sum-of-even-numbers-after-queries,Sum of Even Numbers After Queries,Medium,68.12684442,FALSE,"array,simulation",algorithms
interval-list-intersections,Interval List Intersections,Medium,71.30572798,FALSE,"array,two-pointers",algorithms
vertical-order-traversal-of-a-binary-tree,Vertical Order Traversal of a Binary Tree,Hard,45.1298679,FALSE,"hash-table,tree,depth-first-search,breadth-first-search,binary-tree",algorithms
smallest-string-starting-from-leaf,Smallest String Starting From Leaf,Medium,50.26356589,FALSE,"string,tree,depth-first-search,binary-tree",algorithms
add-to-array-form-of-integer,Add to Array-Form of Integer,Easy,47.05055826,FALSE,"array,math",algorithms
satisfiability-of-equality-equations,Satisfiability of Equality Equations,Medium,50.50493023,FALSE,"array,string,union-find,graph",algorithms
broken-calculator,Broken Calculator,Medium,54.12047634,FALSE,"math,greedy",algorithms
subarrays-with-k-different-integers,Subarrays with K Different Integers,Hard,54.6276523,FALSE,"array,hash-table,sliding-window,counting",algorithms
cousins-in-binary-tree,Cousins in Binary Tree,Easy,54.64194832,FALSE,"tree,depth-first-search,breadth-first-search,binary-tree",algorithms
rotting-oranges,Rotting Oranges,Medium,52.98480076,FALSE,"array,breadth-first-search,matrix",algorithms
minimum-number-of-k-consecutive-bit-flips,Minimum Number of K Consecutive Bit Flips,Hard,51.19200162,FALSE,"array,bit-manipulation,queue,sliding-window,prefix-sum",algorithms
number-of-squareful-arrays,Number of Squareful Arrays,Hard,49.16296061,FALSE,"array,math,dynamic-programming,backtracking,bit-manipulation,bitmask",algorithms
find-the-town-judge,Find the Town Judge,Easy,49.50807384,FALSE,"array,hash-table,graph",algorithms
maximum-binary-tree-ii,Maximum Binary Tree II,Medium,67.34304693,FALSE,"tree,binary-tree",algorithms
available-captures-for-rook,Available Captures for Rook,Easy,68.16832033,FALSE,"array,matrix,simulation",algorithms
minimum-cost-to-merge-stones,Minimum Cost to Merge Stones,Hard,42.25663717,FALSE,"array,dynamic-programming",algorithms
grid-illumination,Grid Illumination,Hard,36.14200171,FALSE,"array,hash-table",algorithms
find-common-characters,Find Common Characters,Easy,68.53119537,FALSE,"array,hash-table,string",algorithms
check-if-word-is-valid-after-substitutions,Check If Word Is Valid After Substitutions,Medium,58.29434033,FALSE,"string,stack",algorithms
max-consecutive-ones-iii,Max Consecutive Ones III,Medium,63.22371307,FALSE,"array,binary-search,sliding-window,prefix-sum",algorithms
maximize-sum-of-array-after-k-negations,Maximize Sum Of Array After K Negations,Easy,50.8466314,FALSE,"array,greedy,sorting",algorithms
clumsy-factorial,Clumsy Factorial,Medium,55.5323497,FALSE,"math,stack,simulation",algorithms
minimum-domino-rotations-for-equal-row,Minimum Domino Rotations For Equal Row,Medium,52.2514425,FALSE,"array,greedy",algorithms
construct-binary-search-tree-from-preorder-traversal,Construct Binary Search Tree from Preorder Traversal,Medium,81.19244485,FALSE,"array,stack,tree,binary-search-tree,monotonic-stack,binary-tree",algorithms
complement-of-base-10-integer,Complement of Base 10 Integer,Easy,61.4552442,FALSE,bit-manipulation,algorithms
pairs-of-songs-with-total-durations-divisible-by-60,Pairs of Songs With Total Durations Divisible by 60,Medium,52.73400828,FALSE,"array,hash-table,counting",algorithms
capacity-to-ship-packages-within-d-days,Capacity To Ship Packages Within D Days,Medium,67.73838126,FALSE,"array,binary-search",algorithms
numbers-with-repeated-digits,Numbers With Repeated Digits,Hard,39.746321,FALSE,"math,dynamic-programming",algorithms
partition-array-into-three-parts-with-equal-sum,Partition Array Into Three Parts With Equal Sum,Easy,42.68928936,FALSE,"array,greedy",algorithms
best-sightseeing-pair,Best Sightseeing Pair,Medium,59.42258704,FALSE,"array,dynamic-programming",algorithms
smallest-integer-divisible-by-k,Smallest Integer Divisible by K,Medium,46.84327588,FALSE,"hash-table,math",algorithms
binary-string-with-substrings-representing-1-to-n,Binary String With Substrings Representing 1 To N,Medium,57.24089177,FALSE,string,algorithms
convert-to-base-2,Convert to Base -2,Medium,60.83522348,FALSE,math,algorithms
binary-prefix-divisible-by-5,Binary Prefix Divisible By 5,Easy,46.83310451,FALSE,array,algorithms
next-greater-node-in-linked-list,Next Greater Node In Linked List,Medium,59.92582628,FALSE,"array,linked-list,stack,monotonic-stack",algorithms
number-of-enclaves,Number of Enclaves,Medium,68.69697409,FALSE,"array,depth-first-search,breadth-first-search,union-find,matrix",algorithms
remove-outermost-parentheses,Remove Outermost Parentheses,Easy,80.71905822,FALSE,"string,stack",algorithms
sum-of-root-to-leaf-binary-numbers,Sum of Root To Leaf Binary Numbers,Easy,73.52079053,FALSE,"tree,depth-first-search,binary-tree",algorithms
camelcase-matching,Camelcase Matching,Medium,60.7851297,FALSE,"two-pointers,string,trie,string-matching",algorithms
video-stitching,Video Stitching,Medium,50.43663472,FALSE,"array,dynamic-programming,greedy",algorithms
divisor-game,Divisor Game,Easy,67.61841732,FALSE,"math,dynamic-programming,brainteaser,game-theory",algorithms
maximum-difference-between-node-and-ancestor,Maximum Difference Between Node and Ancestor,Medium,75.76506978,FALSE,"tree,depth-first-search,binary-tree",algorithms
longest-arithmetic-subsequence,Longest Arithmetic Subsequence,Medium,46.70996474,FALSE,"array,hash-table,binary-search,dynamic-programming",algorithms
recover-a-tree-from-preorder-traversal,Recover a Tree From Preorder Traversal,Hard,73.33471854,FALSE,"string,tree,depth-first-search,binary-tree",algorithms
two-city-scheduling,Two City Scheduling,Medium,65.30755353,FALSE,"array,greedy,sorting",algorithms
matrix-cells-in-distance-order,Matrix Cells in Distance Order,Easy,69.71735452,FALSE,"array,math,geometry,sorting,matrix",algorithms
maximum-sum-of-two-non-overlapping-subarrays,Maximum Sum of Two Non-Overlapping Subarrays,Medium,59.6137772,FALSE,"array,dynamic-programming,sliding-window",algorithms
stream-of-characters,Stream of Characters,Hard,51.63125039,FALSE,"array,string,design,trie,data-stream",algorithms
moving-stones-until-consecutive,Moving Stones Until Consecutive,Medium,46.17369956,FALSE,"math,brainteaser",algorithms
coloring-a-border,Coloring A Border,Medium,49.11299104,FALSE,"array,depth-first-search,breadth-first-search,matrix",algorithms
uncrossed-lines,Uncrossed Lines,Medium,59.18065897,FALSE,"array,dynamic-programming",algorithms
escape-a-large-maze,Escape a Large Maze,Hard,34.16389603,FALSE,"array,hash-table,depth-first-search,breadth-first-search",algorithms
valid-boomerang,Valid Boomerang,Easy,36.992778,FALSE,"array,math,geometry",algorithms
binary-search-tree-to-greater-sum-tree,Binary Search Tree to Greater Sum Tree,Medium,85.54353232,FALSE,"tree,depth-first-search,binary-search-tree,binary-tree",algorithms
minimum-score-triangulation-of-polygon,Minimum Score Triangulation of Polygon,Medium,55.6001976,FALSE,"array,dynamic-programming",algorithms
moving-stones-until-consecutive-ii,Moving Stones Until Consecutive II,Medium,56.09459891,FALSE,"array,math,two-pointers,sorting",algorithms
robot-bounded-in-circle,Robot Bounded In Circle,Medium,55.31342295,FALSE,"math,string,simulation",algorithms
flower-planting-with-no-adjacent,Flower Planting With No Adjacent,Medium,50.60757466,FALSE,"depth-first-search,breadth-first-search,graph",algorithms
partition-array-for-maximum-sum,Partition Array for Maximum Sum,Medium,71.5922528,FALSE,"array,dynamic-programming",algorithms
longest-duplicate-substring,Longest Duplicate Substring,Hard,30.59256151,FALSE,"string,binary-search,sliding-window,rolling-hash,suffix-array,hash-function",algorithms
customers-who-bought-all-products,Customers Who Bought All Products,Medium,66.1658529,FALSE,database,database
last-stone-weight,Last Stone Weight,Easy,64.83366953,FALSE,"array,heap-priority-queue",algorithms
remove-all-adjacent-duplicates-in-string,Remove All Adjacent Duplicates In String,Easy,69.58232623,FALSE,"string,stack",algorithms
longest-string-chain,Longest String Chain,Medium,59.26284707,FALSE,"array,hash-table,two-pointers,string,dynamic-programming",algorithms
last-stone-weight-ii,Last Stone Weight II,Medium,53.24379255,FALSE,"array,dynamic-programming",algorithms
actors-and-directors-who-cooperated-at-least-three-times,Actors and Directors Who Cooperated At Least Three Times,Easy,70.39314629,FALSE,database,database
height-checker,Height Checker,Easy,75.64024003,FALSE,"array,sorting,counting-sort",algorithms
