Bucket Number,Bucket
287,"method, method method, approach, niche let, method desirable practice, methods, method learned, method general, method general powerful, method technique widely"
288,"networking, student want, recommendation student want, recommendation student, career, want career, student want career, want career science, career science networking, career science"
289,"ond, ond strategy, ond requirement, onds, ond issue load, line onds, line onds ond, ond consideration process, mean needed, look different ond"
290,"encrypted, ek, plaintext, encrypting, intruder, message note, know key, plaintext message, message, decrypt"
291,"internet radio, radio, iptv, radio station, radio television, live, television, internet radio station, television station, broadcast"
292,"nonce, mics, nonce value, protocol us nonce, access point, us nonce, compute session, compute session key, use nonce, number protocol"
293,"sender figure, figure sender, figure receiver, figure, receiver figure, receiver, sender, figure sender receiver, figure sender figure, receiver shown figure"
294,"advantage, benefit, strategy advantage advantage, advantage advantage, advantage benefit, strategy advantage, advantage scheme, strategy, drawback, left quietly"
295,"router crash, crash, router, router discarded, havoc network, age, designated router, blown, havoc, discarded"
296,"integrity, message integrity, confidentiality, message integrity technique, problem message integrity, integrity technique, message, confidentiality integrity, message confidentiality, problem message"
297,"switch, connection switch, term bridge switch, switch interchangeably, bridge switch interchangeably, term bridge, look switch, connect switch, term, general term"
298,"nrz, manchester, manchester encoding, encoding, return zero, non return, non return zero, nrzi, photon, taken indicate sent"
299,"hop, time live, counter, time live field, live field, live, decremented, decremented hop, hop limit, reach zero"
300,"area, border router, border, area border router, area border, backbone, destination area, backbone router, router, router area"
301,"introduction introduction, introduction, introduction introduction introduction, introduction introduction medical, text schwartz provides, introduction better, understand let start, introduction busy, introduction busy introduction, introduction introduction appliance"
302,"router figure, fig router, router fig router, router fig, figure note, router, figure router, router figure note, router component, figure note router"
303,"analogy, analogy section, teacher student, clearer, teacher, introduced man, mail naturally, operation analogy, kid bicycle analogous, language worth"
304,"address block, ispsrus, block address, block, isp, address, organization, allocated, address allocated, address block ispsrus"
305,"army, blue army, blue, blue army attack, army attack, attack, army blue army, commander, army blue, white army"
306,"tsap, tsap address, portmapper, stable tsap address, stable tsap, attache tsap, tsap host, known tsap, attache, stable"
307,"social, social network, facebook, twitter, friend, online social, instagram twitter, facebook instagram twitter, facebook instagram, online social network"
308,"security, security mechanism, danger information, danger information leaking, security flaw, information leaking, leaking, concern, danger, flaw"
309,"sonet, carrier, sonet sdh, packet sonet, sdh, synchronous, sts, simply convenient container, situation packet sent, single channel independent"
310,"group, working group, working, divided working, committee, divided, divided working group, chairman, steering committee, steering"
311,"secure email, email, secure, pgp, email provides confidentiality, designing secure email, designing, designing secure, provides confidentiality, email provides"
312,"example example, example example example, example, exist course, flanagan numerous example, example example kleinrock, example example gave, example gave example, tobagi example example, example kleinrock tobagi"
313,"nsf, nsfnet, backbone, nsfnet backbone, an, supercomputer center, merit, commercial, supercomputer, regional network"
314,"analog, digital, digital transmission, adc, voltage, converter, acoustic wave, electrical voltage, analog signal, acoustic"
315,"switch, frame interface, filtering, forward frame, interface, frame switch, filtering forwarding, frame output buffer, frame host, forward"
316,"jpeg, image, subsequent image, redundancy, decoding, encoding, decoding jpeg, frame separately, frame separately jpeg, subsequent image exactly"
317,"beacon, sleep, ap, wake, beacon frame, buffered, buffered frame, frame node, node, ap buffer"
318,"key, whitening key, whitening, key key, key management, work follows key, key respect, respect key work, key work area, key work"
319,"ecn, congestion, explicit congestion notification, congestion notification, ece, explicit congestion, notification, explicit, ecn explicit congestion, ecn explicit"
320,"slot, tdm, time slot, frame tdm, slot frame, time slot frame, tdm slot, time slot user, slot revolving, revolving"
321,"gbn, gbn protocol, gbn sr, sr, gbn sr protocol, gobackn, sr protocol, errorrecovery mechanism, gobackn gbn, errorrecovery"
322,"distance vector routing, vector routing, vector, distance vector, distance, routing, routing distance vector, routing distance, routing algorithm, bellman ford"
323,"repeat, forever, line process, data point, process repeated, line, selective repeat, selective, repeated, determined"
324,"subtypes, subtype, type, subtype field, type subtype, zip, pdf, mixed, subtype allows, javascript zip"
325,"value value, value, recommended value, use value, recommended, play value, relates use global, variable absolute, value devrtt come, value value fourth"
326,"nr, seq, expected, frame expected, seq nr, frame, event, ack, frame send, void"
327,"ike, sa, ike sa, ipsec, ipsec sa, phase, ssl ike, exchange, internet key exchange, phase ike"
328,"routing protocol, intradomain, interas, interdomain, interas intraas, routing, intraas, intraas routing protocol, interdomain routing, interas intraas routing"
329,"ack, syn, syn ack, synack, ack segment, return ack segment, return ack, ack corresponds, client return ack, allocated resource"
330,"execute, program, executable program, executable, program running, routine, process, probably dont, machine asking trouble, machine asking"
331,"bridge, hash table, manual configuration, inside bridge, treatment bridge, manual, perlman, transparent, treatment, hash"
332,"file transfer, throughput file, throughput file transfer, throughput, transfer, file, transfer server client, file transfer server, transfer server, server client"
333,"work, work work, job work, privilege guess paul, work rest want, work thing work, want watch work, work reported serjantov, work pay, work pay privilege"
334,"connectionless, connection oriented, oriented, connectionless service, connectionless network, oriented service, connection oriented service, layer connection oriented, network service, service"
335,"transmission, transmission method, pin, base station, way headend user, subscriber rigidly, technique briefly transmission, identical action, last transmission, station utilizes time"
336,"proxy, proxy proxy, cleartext, web site, proxy server, proxy server proxy, web proxy user, proxy user, proxy pool, site"
337,"cocktail party, party, cocktail, partygoer, talking, speak, analogy, partygoer speak, cocktail party analogy, party analogy"
338,"reorder, order sent, reorder message, corrupt, channel, delivered order sent, corrupt reorder, corrupt reorder message, wire like, reorder packet"
339,"suppose, xr suppose, xr, suppose ususuunn suppose, xr suppose xr, suppose suppose, suppose usndmin, suppose ususuunn, suppose usndmin suppose, suppose xr"
340,"switch figure, switch table, uppermost switch figure, uppermost switch, uppermost, figure switch, switch, figure switch table, switch table uppermost, table uppermost"
341,"wep, equivalent privacy, wired equivalent, wired equivalent privacy, stubblefield, equivalent, wep wired equivalent, wep wired, wired, privacy"
342,"network core, core, edge, network edge, edge network, end system, edge network core, network network core, network edge network, core network"
343,"security, security service, security functionality, provide security, functionality, enjoy security service, enjoy security, blanket coverage, security provided, blanket"
344,"audio, audio video, video, sound, soundtrack, audio channel, moving picture, film, profile, video audio"
345,"network performance, performance, measurement, measuring, network performance measurement, performance measurement, measure network performance, measurement network, network measurement, measure network"
346,"kbps, ran, kbps kbps, bit kbps, older, mbps better low, kbps worth, kbps monaural, kbps mbps kbps, kbps limit situation"
347,"receive receive, sent, sent faster version, sent perth complete, sent sent server, server sent faster, sent instead, sent received received, sent faster, sent email sent"
348,"information, information information, hope information, hope information need, davie, information theory, information need, perkins, hope, kind anderson stuttard"
349,"diffserv, phb, diffserv architecture, marking, diffservcapable, behavior, perhop behavior, edge, perhop, classification"
350,"window, window update, update, sends window update, sends window, called window, window management tcp, window management, management tcp, window size"
351,"tree, zebra, tree tree, search begin, term standard, tree zebra, tree zebra tree, tree search begin, tree search, zebra tree"
352,"capacity, capacity megabit, increase capacity, demand, megabit, pipe, filled capacity, practice hard generalize, follows possible increase, frame follows possible"
353,"discussed section, discussed section discussed, section discussed section, section discussed, discussed, section, dash discussed, dash discussed section, dash, wfq"
354,"pp, peer, file, distributing file, pp file, distributing, pp file sharing, file sharing, architecture, consider distributing file"
355,"answer, following question, answer following question, answer following, question, following question answer, question answer, answer question, following, question briefly"
356,"fec, forward error correction, forward error, interleaving, fec interleaving, interleaving fec, error correction, correction, fec interleaving fec, correction fec"
357,"protocol shown, fig protocol, protocol shown figure, protocol shown fig, fig figure, fig, protocol fig, protocol, diagram, protocol protocol"
358,"sequence number, sequence, sequence number frame, number frame, frame, frame sequence, number, number checked, remembers sequence number, remembers sequence"
359,"networking, design, network designer, innovation, change, network crucial component, networking continues, networking dessert, networking dessert technical, involved network design"
360,"content, content distribution, content distribution network, distribution network, distribution, content provider, contentprovider network, replicated content, build content distribution, contentprovider"
361,"stopandwait, stop wait, wait protocol, wait, stop wait protocol, utilization, stop, stopandwait protocol, utilization sender, sender allowed"
362,"code, advanced code, simple code, block code, balanced, codewords, codeword, advanced, us coding run, general case codewords"
363,"udp, socket programming, clientserver application, udp client, clientserver, socket, udpserver, needed socket, clientserver application udp, programming"
364,"acknowledgement, receipt, end acknowledgement, end end acknowledgement, called cumulative, called cumulative acknowledgement, acknowledged, cumulative acknowledgement, cumulative, correctly received"
365,"joe, florida, orlando, gas station, drive, gas, lakeside, lakeside drive, tell joe, attendant"
366,"true false, true, false, true false true, false true false, false true, true true, false problem, false general true, false general"
367,"station, transmits frame, frame, station transmits frame, station transmits, frame station, transmitting frame, frame containing, transmits, numerical order fig"
368,"ethernet frame, ethernet, frame ethernet, frame ethernet frame, baset, frame structure, frame, ethernet frame shown, ethernet frame structure, mac protocol frame"
369,"mime type, mime, type, existing association, cs, display, type application, type browser, helper application, browser"
370,"packet lifetime, lifetime, maximum packet lifetime, maximum packet, maximum, packet lifetime maximum, lifetime maximum, lifetime maximum packet, packet live, onds"
371,"mobility, nomadic, situation laptop, gain access, situation, gain, network mobility design, need provide mobility, nomadic computing refers, moving network let"
372,"voice, voice data, digital voice, data traffic, voice ip, digitized, voice call, ip internet telephony, voice digital voice, voice ip internet"
373,"sin, fourier, co, amplitude, bn, sine, sin sin, kft, co co, nft"
374,"multiplexing, inverse multiplexing, inverse, multiplexing section, multiplexing inverse, multiplexing inverse multiplexing, called multiplexing, channel multiplexed, multiplexed, rate link"
375,"message fig, fig message, message shown, fig message shown, fig, message fig message, shown fig message, message, message shown fig, message figure"
376,"sends frame, trying send, frame, frame sender, reply frame, sending frame, trying send frame, trying, start sending, frame sent"
377,"transmission rate, link transmission, rc, link transmission rate, transmission rate link, bps, rate, rate link, request channel bandwidth, link"
378,"ellen, dean, marilyn, letter, tom, letter message, dick, message digest, digest, dean letter"
379,"session key, session, key, session key computed, key computed, generate, handshake, conversation, key setup handshake, key setup"
380,"choke packet, choke, choke packet reach, required reduce, choke packet affect, hop pass, packet affect, packet reach, reduce flow, throttle"
381,"replay attack, replay, attack, defend replay attack, defend replay, fail integrity, connection replay attack, connection replay, fail integrity check, trudys"
382,"mpls, label, label switching, multiprotocol label, multiprotocol label switching, switching mpls, multiprotocol, mpls multiprotocol, label switching mpls, mpls multiprotocol label"
383,"quantum, quantum cryptography, photon, cryptography, clone, clone photon, pad, time pad, quantum mechanic, way clone photon"
384,"internet traffic, cisco, majority internet, traffic video, internet traffic video, cisco predicts, predicts, video, traffic, majority"
385,"multiple bit, padded, length, message bit, message padded, padding, length multiple bit, bit, length multiple, block bit"
386,"access point, point, access, building access point, building access, access point access, point access point, point access, station access, station access point"
387,"follow, follow route, packet follow, route, packet follow route, path taken, path, packet flow, route packet, path source"
388,"trudy, trudy trudy, trick, got, trudy indulging prank, na, na pa, trudy course seen, poor trudy trudy, poor trudy"
389,"happens happens, happens happens happens, happens, happen, happen remains seen, actually happen remains, actually happen, bit embarrassment annoying, annoying happen, bit embarrassment"
390,"tape, magnetic, ultrium tape, magnetic tape, ultrium, box, gigabyte, backup, resource printer tape, reused time physical"
391,"host sends segment, sends segment, host sends, segment host, suppose host sends, suppose host, host, segment, segment host host, flow segment"
392,"public key, certificate, public, certification, key, certificate bind public, bind public, bind public key, certificate bind, bind"
393,"tollbooth, caravan, car, car caravan, car travel, highway, suppose car, kmhour, caravan stored, caravan stored tollbooth"
394,"network management, software, subramanian, network application, management, hardware software, network general, hardware, softwaredefined networking, network software"
395,"army, war, army problem, soldier, war ii, world war, world war ii, battle, ii, role shaped field"
396,"buffer, bd, offered load, ac, offered load approach, load approach, buffer router, finite, scheduling algorithm, offered"
397,"sneaky, consumer, online, sale, product, buy, ad, want buy, place ad, tax"
398,"bridge, spanning tree, spanning, tree, spanning tree bridge, tree bridge, root, lowest identifier, bridge choose, bridge choose bridge"
399,"route, route route, lie, rest route discover, route exact, telling route, suddenly need, telling little, suddenly need route, route rest"
400,"terminal, hidden terminal, terminal problem, hidden, hidden terminal problem, exposed terminal, exposed, terminal transmitting, problem, exposed terminal problem"
401,"check bit, bit check bit, bit check, bit, bit bit, way get wrong, way get, version diff come, version diff, get wrong"
402,"chunk, peer, chunk peer, torrent, copy chunk, time peer, chunk file, chunk size, subset, idea downloading"
403,"nak, sender time, frame, eventually sender, eventually sender time, nak get, retransmission frame, timer, time retransmit, eventually"
404,"udp streaming, streaming, udp, video, lose packet, client client, constant rate, audio video, available bandwidth, lose"
405,"ethernet frame, ethernet frame containing, bob laptop, switch delivers, frame switch delivers, switch delivers frame, delivers frame, frame destination, mac address router, frame containing dhcp"
406,"match, guarantee, guarantee hard, hard match short, given guarantee considering, match short unlikely, match short, match make fragile, match make, match assumed correctly"
407,"finish, finish time, time packet, round, fi, packet finish, finish time packet, round start, time fi, ai"
408,"message authentication code, authentication code, message authentication, mac, authentication code mac, code mac, authentication, hmac, hash, mac digital"
409,"macroblock, previous frame, macroblocks, previous, macroblocks containing, position, position previous, macroblock encoded, implementation free, position previous frame"
410,"checksum, checksummed, checksummed frame, checksum recomputed, valid frame, recomputed, frame, incorrect, frame arrives, format require copying"
411,"close, close connection, wait connection, client close, connection wait connection, connection wait, connection, connection close, suppose client, connection process"
412,"thermostat, appliance, laptop, console, home, smartphones, smart home, traffic control system, clock radio, home security system"
413,"power, power management, electrical power, management, battery, electrical, saving, save, power management operates, overload happens"
414,"dhts, hash table, distributed hash, distributed hash table, distributed, dht, hash, dhts distributed hash, dht distributed hash, dhts distributed"
415,"gbps, mbps ethernet, mbps, gbps ethernet, ethernet, juniper mx, gbps ethernet port, server gbps, ethernet link rate, gbps access"
416,"export, export license, license, government, use export, restriction, munition, law, country, cryptography"
417,"point point link, point link, pointtopoint, point, pointtopoint link, point point, view, broadcast channel, running party purpose, lower layer simply"
418,"error detection, detection correction, error detection correction, correction, detection, error, correction saw, detection correction saw, chapter error, chapter error detection"
419,"age seq, seq age, seq age seq, age seq age, age, seq, field convert, function add store, integer eval function, integer eval"
420,"topology, topology shown, topology fig, view example, consider topology, fig topology, topology figure, topology shown figure, view, partial view"
421,"dtrans, dtrans time, dprop, suppose dprop, time tdtrans, tdtrans bit, tdtrans bit packet, dtrans time tdtrans, bit packet suppose, tdtrans"
422,"communication channel, underlying channel, channel, assumed error, communication channel assumed, assumed error free, channel assumed, channel assumed error, assumed, underlying"
423,"kerberos, needham schroeder, schroeder, needham, authentication protocol, authentication, protocol needham, protocol needham schroeder, kdc, needham schroeder authentication"
424,"transit, transit traffic, transit service, balance, balance load, want transit traffic, want transit, traffic, load, carry"
425,"id sensor, id, sensor, intrusion, suspicious, filter, packet filter, intrusion detection, network administrator, alert"
426,"multiplexing demultiplexing, demultiplexing, multiplexing, transportlayer multiplexing demultiplexing, transportlayer multiplexing, transportlayer, demultiplexing let, demultiplexing section, discus transportlayer, discus transportlayer multiplexing"
427,"time lr, lr, entire packet, bit router, entire, destination time lr, bit shortly, receives bit router, transmits bit shortly, lr router"
428,"saw section, saw section saw, section saw section, section saw, saw, section, recall saw section, viewed simultaneously saw, saw section technique, saw section recall"
429,"shift keying, keying, shift, amplitude, phase, phase shift, phase shift keying, amplitude phase, shift keying different, keying different"
430,"socket, network application, socket programming, berkeley, berkeley socket, socket programming assignment, programming, primitive, programming assignment, socket interface"
431,"msec, second packet, packet msec, spacing, second packet msec, msec spacing, greater msec, packet make, second, msec cause"
432,"come come, come, thing go resigning, thing go, big thing, big thing go, go leave, come came, come big, come big thing"
433,"wireless, technical challenge, challenge, distinction challenge posed, distinction challenge, posed wireless, network mobility wireless, challenge posed wireless, posed wireless nature, communication link network"
434,"buffer, receiver, dedicate, buffering, knowing, need buffer oforder, occasionally discarded, efficiency sufficient, receiver dedicate specific, oforder"
435,"array, state array, state, min, variable string array, rk array, variable string, string array, control structure, word array"
436,"hash, hash function, hash hm, creates message, hm example sha, function alice, hash hm example, hash function alice, calculates hash hm, calculates hash"
437,"case shown, figure case, case shown figure, shown figure case, case, figure case shown, case case shown, shown fig case, fig case, case case"
438,"rack, simultaneous flow, host rack, simultaneous, flow, rack simultaneous, simultaneous flow rack, pair flow, different rack, rack simultaneous flow"
439,"learned section, section learned section, section learned, learned section learned, learned, section, switch selflearning section, familiar ground learned, familiar ground, ground learned"
440,"network layer ready, layer ready, network layer, ready event, layer ready event, void, event, cause network layer, cause network, ready"
441,"receiver, wait low power, initially receiver, interested knowing number, process called ranging, marked example periodic, million group, process happens, interval receiver marked, exit reverse"
442,"roundabout, car, exit, ramp, exit ramp, roundabout exit, attendant, interchange, road, car enters"
443,"destination, address destination, destination ip, destination address, address destination source, address source, destination source, destination ip address, source, ip address source"
444,"polling, master node, polling protocol, node, polling node, master, node cyclic manner, node roundrobin, polling delay, node polling"
445,"zigbee, personal area network, personal area, zigbee network, bluetooth zigbee, bluetooth, personal, area network, ieee zigbee, area network bluetooth"
446,"isolation, class, isolation class, providing isolation, traffic class, class traffic, insight, traffic, insight insight, providing isolation traffic"
447,"packet loss, loss, packet loss probability, loss probability, packet loss rate, loss rate, endtoend delay, lost, loss realize throughput, loss suppose link"
448,"itu, tor, tor itu, itu tor, itu standard itu, itu agency united, member itu main, nation itu, nation itu tor, recommendation designed"
449,"range, range range, older block range, range negligible, range present older, range present, range similarly dtrans, reserved range, reserved range range, seven time greater"
450,"packet containing, bit suppose, packet byte, containing, packet containing data, byte packet, containing data, byte, packet bit, bit long"
451,"sublayer, mac sublayer, mac sublayer protocol, sublayer protocol, mac, mac common, common sublayer, mac common sublayer, transmission technique, land"
452,"peering, relationship, advertisement, peering relationship, transit peering, suppose peering, policy, peering agreement, route advertisement, transit"
453,"aloha, slotted, slotted aloha, aloha protocol, slotted aloha protocol, pure, sense multiple, carrier sense multiple, sense multiple access, node"
454,"metcalfe, boggs, metcalfe boggs, network metcalfe boggs, network metcalfe, david boggs, abramsons, david, bob metcalfe, original ethernet"
455,"mapping, possible mapping, mapping possible mapping, mapping possible, example mapped, mapped, mapped balanced example, mapping given, mapping mapping, permutation specifies"
456,"reverse path forwarding, reverse path, path forwarding, reverse, ln, forwarding, path, lack reverse, ln requiring, number router large"
457,"context switch, kernel, context, receiving process, network manager, user space, manager, switch current user, trap kernel, switch current"
458,"drop packet, router drop packet, router drop, drop, important class, drop packet overloaded, difficult build router, difficult build, packet overloaded, build router drop"
459,"ascii, character, ascii representation, letter uppercase, special character, letter, representation letter, ascii representation letter, representation, uppercase"
460,"format, output format, output format long, format long unambiguous, format long, long unambiguous, select output format, select output, unambiguous, select"
461,"pp, pp architecture, architecture, minimal reliance, architecture minimal reliance, pp architecture minimal, architecture application, architecture minimal, reliance, infrastructure server"
462,"rtp, rtp stream, stream, audio video, rtp session, video, audio video stream, audio, session, stream transmitting"
463,"adapter, aging time, address fefa, fefa, suppose frame destination, frame source address, aging, switch, suppose frame, source address"
464,"cell, frequency, neighboring cell, frequency reused, reuse, neighboring, reused, conflict neighboring, conflict neighboring cell, frequency reuse"
465,"server executes, executes, listen, establish connection, primitive, incoming connection, accept primitive, establish connection server, connection server, server executes listen"
466,"common factor, number chosen, force suitable value, suitable value common, structure repeated field, unlucky number, represent space, field represent space, repeated field, force suitable"
467,"wave, earth, band, lf mf band, mf band radio, band radio, wave follow, ionosphere, band radio wave, radio wave follow"
468,"hop, metric, distance hop, execution instance, metric hop, packet node, execution, number hop, distance, algorithm"
469,"blocked, traffic blocked, network allowed, host traffic, delivered host, traffic host, traffic, allowed, admission, host arriving traffic"
470,"movie, metafile, linked, step, medium player, player start reading, movie play movie, movie byte, movie actual movie, movie scratch file"
471,"scenario, scenario shown figure, scenario shown, shown figure scenario, scenario figure, figure scenario, shown figure, figure, procedure figure, summary procedure"
472,"broadcast, broadcast lan, connected broadcast, broadcast link, lan, represented, typically lan, host examined, form larger lansall, lan provides connectivity"
473,"region, hierarchy, cluster, hierarchical routing, routing, level hierarchy, routing scale, region cluster, region router, router entry"
474,"packet size, overhead, small packet, small packet size, bandwidth wasted, achieved, wasted, large packet reduces, large fraction link, ip header increasing"
475,"routing table, initial routing table, initial routing, table, node initial, column figure, node initial routing, routing, routing table shown, table shown"
476,"router router, packet source, packet make, hop, router, broadcast packet, packet arrived, received packet, router packet, hop host"
477,"multimedia, multimedia networking, networking, support multimedia, chapter, multimedia application, multimedia networking foundation, networking foundation, networking exciting development, managing large network"
478,"knapsack, weight, object, algorithm knapsack algorithm, object knapsack, list object, knapsack algorithm, algorithm knapsack, key algorithm knapsack, public key algorithm"
479,"index, index distributed, distributed, peer, worth effort question, index way index, required search distributed, indexing algorithm, let indexing, searching node inefficient"
480,"city, philadelphia, toronto hong kong, toronto hong, toronto, auckland, cover city, minneapolis, hong kong, kong"
481,"error, error correcting code, correcting code, error correcting, correcting, code error, different error correcting, error extra point, lost inserted character, extra point line"
482,"mechanism, studied section, machinery resolution, mechanism driven need, studied section foremost, necessary equal, sentence mechanism infrastructure, showed mechanism called, showed mechanism, need real operation"
483,"symbol, volt, represent bit, volt represent, bit volt, volt logical, volt represent bit, bit symbol, represent, send bit single"
484,"movie, music, movie rental, sharing, music video, rental, file sharing, peer, music video conference, mp song dvd"
485,"turn, processed turn wrong, problem way dealing, unecessary, urity perspective, unecessary turn block, unecessary turn, turn problem, pretty urity, pretty urity perspective"
