problem_statement,titleslug,title,tags,num_occur
"Given a string s representing a valid expression, implement a basic calculator to evaluate it, and return the result of the evaluation. Note: You are not allowed to use any built-in function which evaluates strings as mathematical expressions, such as eval().  ",basic-calculator,Basic Calculator,"Math, String, Stack, Recursion",7
"Given two strings s and t, determine if they are isomorphic. Two strings s and t are isomorphic if the characters in s can be replaced to get t. All occurrences of a character must be replaced with another character while preserving the order of characters. No two characters may map to the same character, but a character may map to itself.  ",isomorphic-strings,Isomorphic Strings,"Hash Table, String",7
"Given two version numbers, version1 and version2, compare them.   Version numbers consist of one or more revisions joined by a dot '.'. Each revision consists of digits and may contain leading zeros. Every revision contains at least one character. Revisions are 0-indexed from left to right, with the leftmost revision being revision 0, the next revision being revision 1, and so on. For example 2.5.33 and 0.1 are valid version numbers. To compare version numbers, compare their revisions in left-to-right order. Revisions are compared using their integer value ignoring any leading zeros. This means that revisions 1 and 001 are considered equal. If a version number does not specify a revision at an index, then treat the revision as 0. For example, version 1.0 is less than version 1.1 because their revision 0s are the same, but their revision 1s are 0 and 1 respectively, and 0 < 1. Return the following:  If version1 < version2, return -1. If version1 > version2, return 1. Otherwise, return 0.   ",compare-version-numbers,Compare Version Numbers,"Two Pointers, String",7
"Given the head of a linked list, return the node where the cycle begins. If there is no cycle, return null. There is a cycle in a linked list if there is some node in the list that can be reached again by continuously following the next pointer. Internally, pos is used to denote the index of the node that tail's next pointer is connected to (0-indexed). It is -1 if there is no cycle. Note that pos is not passed as a parameter. Do not modify the linked list.  ",linked-list-cycle-ii,Linked List Cycle II,"Hash Table, Linked List, Two Pointers",7
"You are given an array prices where prices[i] is the price of a given stock on the ith day. Find the maximum profit you can achieve. You may complete at most two transactions. Note: You may not engage in multiple transactions simultaneously (i.e., you must sell the stock before you buy again).  ",best-time-to-buy-and-sell-stock-iii,Best Time to Buy and Sell Stock III,"Array, Dynamic Programming",7
"Given the head of a singly linked list where elements are sorted in ascending order, convert it to a height-balanced binary search tree.  ",convert-sorted-list-to-binary-search-tree,Convert Sorted List to Binary Search Tree,"Linked List, Divide and Conquer, Tree, Binary Search Tree, Binary Tree",7
"Given a m x n grid filled with non-negative numbers, find a path from top left to bottom right, which minimizes the sum of all numbers along its path. Note: You can only move either down or right at any point in time.  ",minimum-path-sum,Minimum Path Sum,"Array, Dynamic Programming, Matrix",7
"You are given an m x n integer array grid. There is a robot initially located at the top-left corner (i.e., grid[0][0]). The robot tries to move to the bottom-right corner (i.e., grid[m - 1][n - 1]). The robot can only move either down or right at any point in time. An obstacle and space are marked as 1 or 0 respectively in grid. A path that the robot takes cannot include any square that is an obstacle. Return the number of possible unique paths that the robot can take to reach the bottom-right corner. The testcases are generated so that the answer will be less than or equal to 2 * 109.  ",unique-paths-ii,Unique Paths II,"Array, Dynamic Programming, Matrix",7
"The n-queens puzzle is the problem of placing n queens on an n x n chessboard such that no two queens attack each other. Given an integer n, return all distinct solutions to the n-queens puzzle. You may return the answer in any order. Each solution contains a distinct board configuration of the n-queens' placement, where 'Q' and '.' both indicate a queen and an empty space, respectively.  ",n-queens,N-Queens,"Array, Backtracking",7
Write a program to solve a Sudoku puzzle by filling the empty cells. A sudoku solution must satisfy all of the following rules:  Each of the digits 1-9 must occur exactly once in each row. Each of the digits 1-9 must occur exactly once in each column. Each of the digits 1-9 must occur exactly once in each of the 9 3x3 sub-boxes of the grid.  The '.' character indicates empty cells.  ,sudoku-solver,Sudoku Solver,"Array, Hash Table, Backtracking, Matrix",7
"Given an integer x, return true if x is a palindrome, and false otherwise.  ",palindrome-number,Palindrome Number,Math,7
"Anti-theft security devices are activated inside a bank. You are given a 0-indexed binary string array bank representing the floor plan of the bank, which is an m x n 2D matrix. bank[i] represents the ith row, consisting of '0's and '1's. '0' means the cell is empty, while'1' means the cell has a security device. There is one laser beam between any two security devices if both conditions are met:  The two devices are located on two different rows: r1 and r2, where r1 < r2. For each row i where r1 < i < r2, there are no security devices in the ith row.  Laser beams are independent, i.e., one beam does not interfere nor join with another. Return the total number of laser beams in the bank.  ",number-of-laser-beams-in-a-bank,Number of Laser Beams in a Bank,"Array, Math, String, Matrix",6
"A company has n employees with a unique ID for each employee from 0 to n - 1. The head of the company is the one with headID. Each employee has one direct manager given in the manager array where manager[i] is the direct manager of the i-th employee, manager[headID] = -1. Also, it is guaranteed that the subordination relationships have a tree structure. The head of the company wants to inform all the company employees of an urgent piece of news. He will inform his direct subordinates, and they will inform their subordinates, and so on until all employees know about the urgent news. The i-th employee needs informTime[i] minutes to inform all of his direct subordinates (i.e., After informTime[i] minutes, all his direct subordinates can start spreading the news). Return the number of minutes needed to inform all the employees about the urgent news.  ",time-needed-to-inform-all-employees,Time Needed to Inform All Employees,"Tree, Depth-First Search, Breadth-First Search",6
"You are given the root of a binary tree. A ZigZag path for a binary tree is defined as follow:  Choose any node in the binary tree and a direction (right or left). If the current direction is right, move to the right child of the current node; otherwise, move to the left child. Change the direction from right to left or from left to right. Repeat the second and third steps until you can't move in the tree.  Zigzag length is defined as the number of nodes visited - 1. (A single node has a length of 0). Return the longest ZigZag path contained in that tree.  ",longest-zigzag-path-in-a-binary-tree,Longest ZigZag Path in a Binary Tree,"Dynamic Programming, Tree, Depth-First Search, Binary Tree",6
"Given a string s of '(' , ')' and lowercase English characters. Your task is to remove the minimum number of parentheses ( '(' or ')', in any positions ) so that the resulting parentheses string is valid and return any valid string. Formally, a parentheses string is valid if and only if:  It is the empty string, contains only lowercase characters, or It can be written as AB (A concatenated with B), where A and B are valid strings, or It can be written as (A), where A is a valid string.   ",minimum-remove-to-make-valid-parentheses,Minimum Remove to Make Valid Parentheses,"String, Stack",6
"Given two strings text1 and text2, return the length of their longest common subsequence. If there is no common subsequence, return 0. A subsequence of a string is a new string generated from the original string with some characters (can be none) deleted without changing the relative order of the remaining characters.  For example, ""ace"" is a subsequence of ""abcde"".  A common subsequence of two strings is a subsequence that is common to both strings.  ",longest-common-subsequence,Longest Common Subsequence,"String, Dynamic Programming",6
"Given a circular integer array nums of length n, return the maximum possible sum of a non-empty subarray of nums. A circular array means the end of the array connects to the beginning of the array. Formally, the next element of nums[i] is nums[(i + 1) % n] and the previous element of nums[i] is nums[(i - 1 + n) % n]. A subarray may only include each element of the fixed buffer nums at most once. Formally, for a subarray nums[i], nums[i + 1], ..., nums[j], there does not exist i <= k1, k2 <= j with k1 % n == k2 % n.  ",maximum-sum-circular-subarray,Maximum Sum Circular Subarray,"Array, Divide and Conquer, Dynamic Programming, Queue, Monotonic Queue",6
"Design an algorithm that collects daily price quotes for some stock and returns the span of that stock's price for the current day. The span of the stock's price in one day is the maximum number of consecutive days (starting from that day and going backward) for which the stock price was less than or equal to the price of that day.  For example, if the prices of the stock in the last four days is [7,2,1,2] and the price of the stock today is 2, then the span of today is 4 because starting from today, the price of the stock was less than or equal 2 for 4 consecutive days. Also, if the prices of the stock in the last four days is [7,34,1,2] and the price of the stock today is 8, then the span of today is 3 because starting from today, the price of the stock was less than or equal 8 for 3 consecutive days.  Implement the StockSpanner class:  StockSpanner() Initializes the object of the class. int next(int price) Returns the span of the stock's price given that today's price is price.   ",online-stock-span,Online Stock Span,"Stack, Design, Monotonic Stack, Data Stream",6
"There are n rooms labeled from 0 to n - 1 and all the rooms are locked except for room 0. Your goal is to visit all the rooms. However, you cannot enter a locked room without having its key. When you visit a room, you may find a set of distinct keys in it. Each key has a number on it, denoting which room it unlocks, and you can take all of them with you to unlock the other rooms. Given an array rooms where rooms[i] is the set of keys that you can obtain if you visited room i, return true if you can visit all the rooms, or false otherwise.  ",keys-and-rooms,Keys and Rooms,"Depth-First Search, Breadth-First Search, Graph",6
"Given the root of a binary tree, return the maximum width of the given tree. The maximum width of a tree is the maximum width among all levels. The width of one level is defined as the length between the end-nodes (the leftmost and rightmost non-null nodes), where the null nodes between the end-nodes that would be present in a complete binary tree extending down to that level are also counted into the length calculation. It is guaranteed that the answer will in the range of a 32-bit signed integer.  ",maximum-width-of-binary-tree,Maximum Width of Binary Tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",6
"Given the roots of two binary trees root and subRoot, return true if there is a subtree of root with the same structure and node values of subRoot and false otherwise. A subtree of a binary tree tree is a tree that consists of a node in tree and all of this node's descendants. The tree tree could also be considered as a subtree of itself.  ",subtree-of-another-tree,Subtree of Another Tree,"Tree, Depth-First Search, String Matching, Binary Tree, Hash Function",6
"Given an m x n binary matrix mat, return the distance of the nearest 0 for each cell. The distance between two adjacent cells is 1.  ",01-matrix,01 Matrix,"Array, Dynamic Programming, Breadth-First Search, Matrix",6
"Given a string s, find the longest palindromic subsequence's length in s. A subsequence is a sequence that can be derived from another sequence by deleting some or no elements without changing the order of the remaining elements.  ",longest-palindromic-subsequence,Longest Palindromic Subsequence,"String, Dynamic Programming",6
"Given four integer arrays nums1, nums2, nums3, and nums4 all of length n, return the number of tuples (i, j, k, l) such that:  0 <= i, j, k, l < n nums1[i] + nums2[j] + nums3[k] + nums4[l] == 0   ",4sum-ii,4Sum II,"Array, Hash Table",6
You are given a string s and an integer k. You can choose any character of the string and change it to any other uppercase English character. You can perform this operation at most k times. Return the length of the longest substring containing the same letter you can get after performing the above operations.  ,longest-repeating-character-replacement,Longest Repeating Character Replacement,"Hash Table, String, Sliding Window",6
"A password is considered strong if the below conditions are all met:  It has at least 6 characters and at most 20 characters. It contains at least one lowercase letter, at least one uppercase letter, and at least one digit. It does not contain three repeating characters in a row (i.e., ""Baaabb0"" is weak, but ""Baaba0"" is strong).  Given a string password, return the minimum number of steps required to make password strong. if password is already strong, return 0. In one step, you can:  Insert one character to password, Delete one character from password, or Replace one character of password with another character.   ",strong-password-checker,Strong Password Checker,"String, Greedy, Heap (Priority Queue)",6
"Given an integer array nums and an integer k, split nums into k non-empty subarrays such that the largest sum of any subarray is minimized. Return the minimized largest sum of the split. A subarray is a contiguous part of the array.  ",split-array-largest-sum,Split Array Largest Sum,"Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum",6
"A frog is crossing a river. The river is divided into some number of units, and at each unit, there may or may not exist a stone. The frog can jump on a stone, but it must not jump into the water. Given a list of stones' positions (in units) in sorted ascending order, determine if the frog can cross the river by landing on the last stone. Initially, the frog is on the first stone and assumes the first jump must be 1 unit. If the frog's last jump was k units, its next jump must be either k - 1, k, or k + 1 units. The frog can only jump in the forward direction.  ",frog-jump,Frog Jump,"Array, Dynamic Programming",6
"Given an n x n matrix where each of the rows and columns is sorted in ascending order, return the kth smallest element in the matrix. Note that it is the kth smallest element in the sorted order, not the kth distinct element. You must find a solution with a memory complexity better than O(n2).  ",kth-smallest-element-in-a-sorted-matrix,Kth Smallest Element in a Sorted Matrix,"Array, Binary Search, Sorting, Heap (Priority Queue), Matrix",6
Write a function that reverses a string. The input string is given as an array of characters s. You must do this by modifying the input array in-place with O(1) extra memory.  ,reverse-string,Reverse String,"Two Pointers, String",6
"The thief has found himself a new place for his thievery again. There is only one entrance to this area, called root. Besides the root, each house has one and only one parent house. After a tour, the smart thief realized that all houses in this place form a binary tree. It will automatically contact the police if two directly-linked houses were broken into on the same night. Given the root of the binary tree, return the maximum amount of money the thief can rob without alerting the police.  ",house-robber-iii,House Robber III,"Dynamic Programming, Tree, Depth-First Search, Binary Tree",6
"According to Wikipedia's article: ""The Game of Life, also known simply as Life, is a cellular automaton devised by the British mathematician John Horton Conway in 1970."" The board is made up of an m x n grid of cells, where each cell has an initial state: live (represented by a 1) or dead (represented by a 0). Each cell interacts with its eight neighbors (horizontal, vertical, diagonal) using the following four rules (taken from the above Wikipedia article):  Any live cell with fewer than two live neighbors dies as if caused by under-population. Any live cell with two or three live neighbors lives on to the next generation. Any live cell with more than three live neighbors dies, as if by over-population. Any dead cell with exactly three live neighbors becomes a live cell, as if by reproduction.  The next state is created by applying the above rules simultaneously to every cell in the current state, where births and deaths occur simultaneously. Given the current state of the m x n grid board, return the next state.  ",game-of-life,Game of Life,"Array, Matrix, Simulation",6
"Given an array of positive integers nums and a positive integer target, return the minimal length of a subarray whose sum is greater than or equal to target. If there is no such subarray, return 0 instead.  ",minimum-size-subarray-sum,Minimum Size Subarray Sum,"Array, Binary Search, Sliding Window, Prefix Sum",6
"Write an algorithm to determine if a number n is happy. A happy number is a number defined by the following process:  Starting with any positive integer, replace the number by the sum of the squares of its digits. Repeat the process until the number equals 1 (where it will stay), or it loops endlessly in a cycle which does not include 1. Those numbers for which this process ends in 1 are happy.  Return true if n is a happy number, and false if not.  ",happy-number,Happy Number,"Hash Table, Math, Two Pointers",6
"You are given an array of strings tokens that represents an arithmetic expression in a Reverse Polish Notation. Evaluate the expression. Return an integer that represents the value of the expression. Note that:  The valid operators are '+', '-', '*', and '/'. Each operand may be an integer or another expression. The division between two integers always truncates toward zero. There will not be any division by zero. The input represents a valid arithmetic expression in a reverse polish notation. The answer and all the intermediate calculations can be represented in a 32-bit integer.   ",evaluate-reverse-polish-notation,Evaluate Reverse Polish Notation,"Array, Math, Stack",6
"Given the root of a binary tree, flatten the tree into a ""linked list"":  The ""linked list"" should use the same TreeNode class where the right child pointer points to the next node in the list and the left child pointer is always null. The ""linked list"" should be in the same order as a pre-order traversal of the binary tree.   ",flatten-binary-tree-to-linked-list,Flatten Binary Tree to Linked List,"Linked List, Stack, Tree, Depth-First Search, Binary Tree",6
"Given the head of a sorted linked list, delete all duplicates such that each element appears only once. Return the linked list sorted as well.  ",remove-duplicates-from-sorted-list,Remove Duplicates from Sorted List,Linked List,6
"Given the head of a sorted linked list, delete all nodes that have duplicate numbers, leaving only distinct numbers from the original list. Return the linked list sorted as well.  ",remove-duplicates-from-sorted-list-ii,Remove Duplicates from Sorted List II,"Linked List, Two Pointers",6
"Given an m x n integer matrix matrix, if an element is 0, set its entire row and column to 0's. You must do it in place.  ",set-matrix-zeroes,Set Matrix Zeroes,"Array, Hash Table, Matrix",6
"Given two binary strings a and b, return their sum as a binary string.  ",add-binary,Add Binary,"Math, String, Bit Manipulation, Simulation",6
"Given an array nums of n integers, return an array of all the unique quadruplets [nums[a], nums[b], nums[c], nums[d]] such that:  0 <= a, b, c, d < n a, b, c, and d are distinct. nums[a] + nums[b] + nums[c] + nums[d] == target  You may return the answer in any order.  ",4sum,4Sum,"Array, Two Pointers, Sorting",6
"You are given an integer array heights representing the heights of buildings, some bricks, and some ladders. You start your journey from building 0 and move to the next building by possibly using bricks or ladders. While moving from building i to building i+1 (0-indexed),  If the current building's height is greater than or equal to the next building's height, you do not need a ladder or bricks. If the current building's height is less than the next building's height, you can either use one ladder or (h[i+1] - h[i]) bricks.  Return the furthest building index (0-indexed) you can reach if you use the given ladders and bricks optimally.  ",furthest-building-you-can-reach,Furthest Building You Can Reach,"Array, Greedy, Heap (Priority Queue)",5
"Given an array of integers nums, sort the array in increasing order based on the frequency of the values. If multiple values have the same frequency, sort them in decreasing order. Return the sorted array.  ",sort-array-by-increasing-frequency,Sort Array by Increasing Frequency,"Array, Hash Table, Sorting",5
Given an array of integers arr and an integer k. Find the least number of unique integers after removing exactly k elements.    ,least-number-of-unique-integers-after-k-removals,Least Number of Unique Integers after K Removals,"Array, Hash Table, Greedy, Sorting, Counting",5
"Write a program to count the number of days between two dates. The two dates are given as strings, their format is YYYY-MM-DD as shown in the examples.  ",number-of-days-between-two-dates,Number of Days Between Two Dates,"Math, String",5
"Given an array of integers arr, return true if the number of occurrences of each value in the array is unique or false otherwise.  ",unique-number-of-occurrences,Unique Number of Occurrences,"Array, Hash Table",5
"You are given the head of a linked list with n nodes. For each node in the list, find the value of the next greater node. That is, for each node, find the value of the first node that is next to it and has a strictly larger value than it. Return an integer array answer where answer[i] is the value of the next greater node of the ith node (1-indexed). If the ith node does not have a next greater node, set answer[i] = 0.  ",next-greater-node-in-linked-list,Next Greater Node In Linked List,"Array, Linked List, Stack, Monotonic Stack",5
"Design a stack-like data structure to push elements to the stack and pop the most frequent element from the stack. Implement the FreqStack class:  FreqStack() constructs an empty frequency stack. void push(int val) pushes an integer val onto the top of the stack. int pop() removes and returns the most frequent element in the stack. 	 If there is a tie for the most frequent element, the element closest to the stack's top is removed and returned.     ",maximum-frequency-stack,Maximum Frequency Stack,"Hash Table, Stack, Design, Ordered Set",5
"Given the head of a singly linked list, return the middle node of the linked list. If there are two middle nodes, return the second middle node.  ",middle-of-the-linked-list,Middle of the Linked List,"Linked List, Two Pointers",5
"You are standing at position 0 on an infinite number line. There is a destination at position target. You can make some number of moves numMoves so that:  On each move, you can either go left or right. During the ith move (starting from i == 1 to i == numMoves), you take i steps in the chosen direction.  Given the integer target, return the minimum number of moves required (i.e., the minimum numMoves) to reach the destination.  ",reach-a-number,Reach a Number,"Math, Binary Search",5
"You are given an integer array cost where cost[i] is the cost of ith step on a staircase. Once you pay the cost, you can either climb one or two steps. You can either start from the step with index 0, or the step with index 1. Return the minimum cost to reach the top of the floor.  ",min-cost-climbing-stairs,Min Cost Climbing Stairs,"Array, Dynamic Programming",5
"You are given an integer array nums. You want to maximize the number of points you get by performing the following operation any number of times:  Pick any nums[i] and delete it to earn nums[i] points. Afterwards, you must delete every element equal to nums[i] - 1 and every element equal to nums[i] + 1.  Return the maximum number of points you can earn by applying the above operation some number of times.  ",delete-and-earn,Delete and Earn,"Array, Hash Table, Dynamic Programming",5
"Given a string s, return true if the s can be palindrome after deleting at most one character from it.  ",valid-palindrome-ii,Valid Palindrome II,"Two Pointers, String, Greedy",5
"Given a string s containing only three types of characters: '(', ')' and '*', return true if s is valid. The following rules define a valid string:  Any left parenthesis '(' must have a corresponding right parenthesis ')'. Any right parenthesis ')' must have a corresponding left parenthesis '('. Left parenthesis '(' must go before the corresponding right parenthesis ')'. '*' could be treated as a single right parenthesis ')' or a single left parenthesis '(' or an empty string """".   ",valid-parenthesis-string,Valid Parenthesis String,"String, Dynamic Programming, Stack, Greedy",5
"Given an integer array nums, you need to find one continuous subarray that if you only sort this subarray in ascending order, then the whole array will be sorted in ascending order. Return the shortest such subarray and output its length.  ",shortest-unsorted-continuous-subarray,Shortest Unsorted Continuous Subarray,"Array, Two Pointers, Stack, Greedy, Sorting, Monotonic Stack",5
"Given an integer array nums and an integer k, return true if nums has a good subarray or false otherwise. A good subarray is a subarray where:  its length is at least two, and the sum of the elements of the subarray is a multiple of k.  Note that:  A subarray is a contiguous part of the array. An integer x is a multiple of k if there exists an integer n such that x = n * k. 0 is always a multiple of k.   ",continuous-subarray-sum,Continuous Subarray Sum,"Array, Hash Table, Math, Prefix Sum",5
"Given an array nums of n integers where nums[i] is in the range [1, n], return an array of all the integers in the range [1, n] that do not appear in nums.  ",find-all-numbers-disappeared-in-an-array,Find All Numbers Disappeared in an Array,"Array, Hash Table",5
"Given an integer array nums of length n where all the integers of nums are in the range [1, n] and each integer appears once or twice, return an array of all the integers that appears twice. You must write an algorithm that runs in O(n) time and uses only constant extra space.  ",find-all-duplicates-in-an-array,Find All Duplicates in an Array,"Array, Hash Table",5
"Given an integer n, return true if it is a power of two. Otherwise, return false. An integer n is a power of two, if there exists an integer x such that n == 2x.  ",power-of-two,Power of Two,"Math, Bit Manipulation, Recursion",5
"Given the root of a binary tree, invert the tree, and return its root.  ",invert-binary-tree,Invert Binary Tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",5
"Given the root of a complete binary tree, return the number of the nodes in the tree. According to Wikipedia, every level, except possibly the last, is completely filled in a complete binary tree, and all nodes in the last level are as far left as possible. It can have between 1 and 2h nodes inclusive at the last level h. Design an algorithm that runs in less than O(n) time complexity.  ",count-complete-tree-nodes,Count Complete Tree Nodes,"Binary Search, Tree, Depth-First Search, Binary Tree",5
"Given an integer array nums where every element appears three times except for one, which appears exactly once. Find the single element and return it. You must implement a solution with a linear runtime complexity and use only constant extra space.  ",single-number-ii,Single Number II,"Array, Bit Manipulation",5
"Given an integer numRows, return the first numRows of Pascal's triangle. In Pascal's triangle, each number is the sum of the two numbers directly above it as shown:   ",pascals-triangle,Pascal's Triangle,"Array, Dynamic Programming",5
"Given the root of a binary tree and an integer targetSum, return all root-to-leaf paths where the sum of the node values in the path equals targetSum. Each path should be returned as a list of the node values, not node references. A root-to-leaf path is a path starting from the root and ending at any leaf node. A leaf is a node with no children.  ",path-sum-ii,Path Sum II,"Backtracking, Tree, Depth-First Search, Binary Tree",5
"Given a binary tree, determine if it is height-balanced.  ",balanced-binary-tree,Balanced Binary Tree,"Tree, Depth-First Search, Binary Tree",5
"Given the roots of two binary trees p and q, write a function to check if they are the same or not. Two binary trees are considered the same if they are structurally identical, and the nodes have the same value.  ",same-tree,Same Tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",5
"Given the head of a singly linked list and two integers left and right where left <= right, reverse the nodes of the list from position left to position right, and return the reversed list.  ",reverse-linked-list-ii,Reverse Linked List II,Linked List,5
"You are given two integer arrays nums1 and nums2, sorted in non-decreasing order, and two integers m and n, representing the number of elements in nums1 and nums2 respectively. Merge nums1 and nums2 into a single array sorted in non-decreasing order. The final sorted array should not be returned by the function, but instead be stored inside the array nums1. To accommodate this, nums1 has a length of m + n, where the first m elements denote the elements that should be merged, and the last n elements are set to 0 and should be ignored. nums2 has a length of n.  ",merge-sorted-array,Merge Sorted Array,"Array, Two Pointers, Sorting",5
"There is an integer array nums sorted in non-decreasing order (not necessarily with distinct values). Before being passed to your function, nums is rotated at an unknown pivot index k (0 <= k < nums.length) such that the resulting array is [nums[k], nums[k+1], ..., nums[n-1], nums[0], nums[1], ..., nums[k-1]] (0-indexed). For example, [0,1,2,4,4,4,5,6,6,7] might be rotated at pivot index 5 and become [4,5,6,6,7,0,1,2,4,4]. Given the array nums after the rotation and an integer target, return true if target is in nums, or false if it is not in nums. You must decrease the overall operation steps as much as possible.  ",search-in-rotated-sorted-array-ii,Search in Rotated Sorted Array II,"Array, Binary Search",5
"You are given a large integer represented as an integer array digits, where each digits[i] is the ith digit of the integer. The digits are ordered from most significant to least significant in left-to-right order. The large integer does not contain any leading 0's. Increment the large integer by one and return the resulting array of digits.  ",plus-one,Plus One,"Array, Math",5
"You are given an array of non-overlapping intervals intervals where intervals[i] = [starti, endi] represent the start and the end of the ith interval and intervals is sorted in ascending order by starti. You are also given an interval newInterval = [start, end] that represents the start and end of another interval. Insert newInterval into intervals such that intervals is still sorted in ascending order by starti and intervals still does not have any overlapping intervals (merge overlapping intervals if necessary). Return intervals after the insertion.  ",insert-interval,Insert Interval,Array,5
"Given an input string (s) and a pattern (p), implement wildcard pattern matching with support for '?' and '*' where:  '?' Matches any single character. '*' Matches any sequence of characters (including the empty sequence).  The matching should cover the entire input string (not partial).  ",wildcard-matching,Wildcard Matching,"String, Dynamic Programming, Greedy, Recursion",5
"Given two non-negative integers num1 and num2 represented as strings, return the product of num1 and num2, also represented as a string. Note: You must not use any built-in BigInteger library or convert the inputs to integer directly.  ",multiply-strings,Multiply Strings,"Math, String, Simulation",5
"Given an integer array nums and an integer val, remove all occurrences of val in nums in-place. The order of the elements may be changed. Then return the number of elements in nums which are not equal to val. Consider the number of elements in nums which are not equal to val be k, to get accepted, you need to do the following things:  Change the array nums such that the first k elements of nums contain the elements which are not equal to val. The remaining elements of nums are not important as well as the size of nums. Return k.  Custom Judge: The judge will test your solution with the following code:  int[] nums = [...]; // Input array int val = ...; // Value to remove int[] expectedNums = [...]; // The expected answer with correct length.                             // It is sorted with no values equaling val.  int k = removeElement(nums, val); // Calls your implementation  assert k == expectedNums.length; sort(nums, 0, k); // Sort the first k elements of nums for (int i = 0; i < actualLength; i++) {     assert nums[i] == expectedNums[i]; }  If all assertions pass, then your solution will be accepted.  ",remove-element,Remove Element,"Array, Two Pointers",5
"The string ""PAYPALISHIRING"" is written in a zigzag pattern on a given number of rows like this: (you may want to display this pattern in a fixed font for better legibility)  P   A   H   N A P L S I I G Y   I   R  And then read line by line: ""PAHNAPLSIIGYIR"" Write the code that will take a string and make this conversion given a number of rows:  string convert(string s, int numRows);   ",zigzag-conversion,Zigzag Conversion,String,5
"You are given an integer array prices representing the daily price history of a stock, where prices[i] is the stock price on the ith day. A smooth descent period of a stock consists of one or more contiguous days such that the price on each day is lower than the price on the preceding day by exactly 1. The first day of the period is exempted from this rule. Return the number of smooth descent periods.  ",number-of-smooth-descent-periods-of-a-stock,Number of Smooth Descent Periods of a Stock,"Array, Math, Dynamic Programming",4
"There is a bi-directional graph with n vertices, where each vertex is labeled from 0 to n - 1 (inclusive). The edges in the graph are represented as a 2D integer array edges, where each edges[i] = [ui, vi] denotes a bi-directional edge between vertex ui and vertex vi. Every vertex pair is connected by at most one edge, and no vertex has an edge to itself. You want to determine if there is a valid path that exists from vertex source to vertex destination. Given edges and the integers n, source, and destination, return true if there is a valid path from source to destination, or false otherwise.  ",find-if-path-exists-in-graph,Find if Path Exists in Graph,"Depth-First Search, Breadth-First Search, Union Find, Graph",4
"Given an integer array arr, remove a subarray (can be empty) from arr such that the remaining elements in arr are non-decreasing. Return the length of the shortest subarray to remove. A subarray is a contiguous subsequence of the array.  ",shortest-subarray-to-be-removed-to-make-array-sorted,Shortest Subarray to be Removed to Make Array Sorted,"Array, Two Pointers, Binary Search, Stack, Monotonic Stack",4
"Given an array of integers arr, you are initially positioned at the first index of the array. In one step you can jump from index i to index:  i + 1 where: i + 1 < arr.length. i - 1 where: i - 1 >= 0. j where: arr[i] == arr[j] and i != j.  Return the minimum number of steps to reach the last index of the array. Notice that you can not jump outside of the array at any time.  ",jump-game-iv,Jump Game IV,"Array, Hash Table, Breadth-First Search",4
"Given the root of a binary tree, split the binary tree into two subtrees by removing one edge such that the product of the sums of the subtrees is maximized. Return the maximum product of the sums of the two subtrees. Since the answer may be too large, return it modulo 109 + 7. Note that you need to maximize the answer before taking the mod and not after taking it.  ",maximum-product-of-splitted-binary-tree,Maximum Product of Splitted Binary Tree,"Tree, Depth-First Search, Binary Tree",4
You are given a string s consisting of lowercase English letters. A duplicate removal consists of choosing two adjacent and equal letters and removing them. We repeatedly make duplicate removals on s until we no longer can. Return the final string after all such duplicate removals have been made. It can be proven that the answer is unique.  ,remove-all-adjacent-duplicates-in-string,Remove All Adjacent Duplicates In String,"String, Stack",4
"You are given an array of integers stones where stones[i] is the weight of the ith stone. We are playing a game with the stones. On each turn, we choose the heaviest two stones and smash them together. Suppose the heaviest two stones have weights x and y with x <= y. The result of this smash is:  If x == y, both stones are destroyed, and If x != y, the stone of weight x is destroyed, and the stone of weight y has new weight y - x.  At the end of the game, there is at most one stone left. Return the weight of the last remaining stone. If there are no stones left, return 0.  ",last-stone-weight,Last Stone Weight,"Array, Heap (Priority Queue)",4
"Given an integer array arr, partition the array into (contiguous) subarrays of length at most k. After partitioning, each subarray has their values changed to become the maximum value of that subarray. Return the largest sum of the given array after partitioning. Test cases are generated so that the answer fits in a 32-bit integer.  ",partition-array-for-maximum-sum,Partition Array for Maximum Sum,"Array, Dynamic Programming",4
"Given the root of a binary tree, find the maximum value v for which there exist different nodes a and b where v = |a.val - b.val| and a is an ancestor of b. A node a is an ancestor of b if either: any child of a is equal to b or any child of a is an ancestor of b.  ",maximum-difference-between-node-and-ancestor,Maximum Difference Between Node and Ancestor,"Tree, Depth-First Search, Binary Tree",4
"Given an array of integers preorder, which represents the preorder traversal of a BST (i.e., binary search tree), construct the tree and return its root. It is guaranteed that there is always possible to find a binary search tree with the given requirements for the given test cases. A binary search tree is a binary tree where for every node, any descendant of Node.left has a value strictly less than Node.val, and any descendant of Node.right has a value strictly greater than Node.val. A preorder traversal of a binary tree displays the value of the node first, then traverses Node.left, then traverses Node.right.  ",construct-binary-search-tree-from-preorder-traversal,Construct Binary Search Tree from Preorder Traversal,"Array, Stack, Tree, Binary Search Tree, Monotonic Stack, Binary Tree",4
