problem_statement,titleslug,title,tags,num_occur
"Design a HashMap without using any built-in hash table libraries. Implement the MyHashMap class:  MyHashMap() initializes the object with an empty map. void put(int key, int value) inserts a (key, value) pair into the HashMap. If the key already exists in the map, update the corresponding value. int get(int key) returns the value to which the specified key is mapped, or -1 if this map contains no mapping for the key. void remove(key) removes the key and its corresponding value if the map contains the mapping for the key.   ",design-hashmap,Design HashMap,"Array, Hash Table, Linked List, Design, Hash Function",6
"Given an m x n matrix mat, return an array of all the elements of the array in a diagonal order.  ",diagonal-traverse,Diagonal Traverse,"Array, Matrix, Simulation",6
"Given a root node reference of a BST and a key, delete the node with the given key in the BST. Return the root node reference (possibly updated) of the BST. Basically, the deletion can be divided into two stages:  Search for a node to remove. If the node is found, delete the node.   ",delete-node-in-a-bst,Delete Node in a BST,"Tree, Binary Search Tree, Binary Tree",6
"Given an array of characters chars, compress it using the following algorithm: Begin with an empty string s. For each group of consecutive repeating characters in chars:  If the group's length is 1, append the character to s. Otherwise, append the character followed by the group's length.  The compressed string s should not be returned separately, but instead, be stored in the input character array chars. Note that group lengths that are 10 or longer will be split into multiple characters in chars. After you are done modifying the input array, return the new length of the array. You must write an algorithm that uses only constant extra space.  ",string-compression,String Compression,"Two Pointers, String",6
"Given a string s, find the first non-repeating character in it and return its index. If it does not exist, return -1.  ",first-unique-character-in-a-string,First Unique Character in a String,"Hash Table, String, Queue, Counting",6
"You are given n balloons, indexed from 0 to n - 1. Each balloon is painted with a number on it represented by an array nums. You are asked to burst all the balloons. If you burst the ith balloon, you will get nums[i - 1] * nums[i] * nums[i + 1] coins. If i - 1 or i + 1 goes out of bounds of the array, then treat it as if there is a balloon with a 1 painted on it. Return the maximum coins you can collect by bursting the balloons wisely.  ",burst-balloons,Burst Balloons,"Array, Dynamic Programming",6
"You are a product manager and currently leading a team to develop a new product. Unfortunately, the latest version of your product fails the quality check. Since each version is developed based on the previous version, all the versions after a bad version are also bad. Suppose you have n versions [1, 2, ..., n] and you want to find out the first bad one, which causes all the following ones to be bad. You are given an API bool isBadVersion(version) which returns whether version is bad. Implement a function to find the first bad version. You should minimize the number of calls to the API.  ",first-bad-version,First Bad Version,"Binary Search, Interactive",6
"Given two strings s and t, return true if t is an anagram of s, and false otherwise. An Anagram is a word or phrase formed by rearranging the letters of a different word or phrase, typically using all the original letters exactly once.  ",valid-anagram,Valid Anagram,"Hash Table, String, Sorting",6
"You are given an array of integers nums, there is a sliding window of size k which is moving from the very left of the array to the very right. You can only see the k numbers in the window. Each time the sliding window moves right by one position. Return the max sliding window.  ",sliding-window-maximum,Sliding Window Maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue",6
"Given a string columnTitle that represents the column title as appears in an Excel sheet, return its corresponding column number. For example:  A -> 1 B -> 2 C -> 3 ... Z -> 26 AA -> 27 AB -> 28  ...   ",excel-sheet-column-number,Excel Sheet Column Number,"Math, String",6
"Given an array nums of size n, return the majority element. The majority element is the element that appears more than ⌊n / 2⌋ times. You may assume that the majority element always exists in the array.  ",majority-element,Majority Element,"Array, Hash Table, Divide and Conquer, Sorting, Counting",6
"A transformation sequence from word beginWord to word endWord using a dictionary wordList is a sequence of words beginWord -> s1 -> s2 -> ... -> sk such that:  Every adjacent pair of words differs by a single letter. Every si for 1 <= i <= k is in wordList. Note that beginWord does not need to be in wordList. sk == endWord  Given two words, beginWord and endWord, and a dictionary wordList, return the number of words in the shortest transformation sequence from beginWord to endWord, or 0 if no such sequence exists.  ",word-ladder,Word Ladder,"Hash Table, String, Breadth-First Search",6
"Given the root of a binary tree, flatten the tree into a ""linked list"":  The ""linked list"" should use the same TreeNode class where the right child pointer points to the next node in the list and the left child pointer is always null. The ""linked list"" should be in the same order as a pre-order traversal of the binary tree.   ",flatten-binary-tree-to-linked-list,Flatten Binary Tree to Linked List,"Linked List, Stack, Tree, Depth-First Search, Binary Tree",6
"Given the root of a binary tree, determine if it is a valid binary search tree (BST). A valid BST is defined as follows:  The left subtree of a node contains only nodes with keys less than the node's key. The right subtree of a node contains only nodes with keys greater than the node's key. Both the left and right subtrees must also be binary search trees.   ",validate-binary-search-tree,Validate Binary Search Tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree",6
"Given an array of integers heights representing the histogram's bar height where the width of each bar is 1, return the area of the largest rectangle in the histogram.  ",largest-rectangle-in-histogram,Largest Rectangle in Histogram,"Array, Stack, Monotonic Stack",6
"Given two strings word1 and word2, return the minimum number of operations required to convert word1 to word2. You have the following three operations permitted on a word:  Insert a character Delete a character Replace a character   ",edit-distance,Edit Distance,"String, Dynamic Programming",6
"Given an array of distinct integers candidates and a target integer target, return a list of all unique combinations of candidates where the chosen numbers sum to target. You may return the combinations in any order. The same number may be chosen from candidates an unlimited number of times. Two combinations are unique if the frequency of at least one of the chosen numbers is different. The test cases are generated such that the number of unique combinations that sum up to target is less than 150 combinations for the given input.  ",combination-sum,Combination Sum,"Array, Backtracking",6
"Given an integer array nums sorted in non-decreasing order, remove the duplicates in-place such that each unique element appears only once. The relative order of the elements should be kept the same. Then return the number of unique elements in nums. Consider the number of unique elements of nums be k, to get accepted, you need to do the following things:  Change the array nums such that the first k elements of nums contain the unique elements in the order they were present in nums initially. The remaining elements of nums are not important as well as the size of nums. Return k.  Custom Judge: The judge will test your solution with the following code:  int[] nums = [...]; // Input array int[] expectedNums = [...]; // The expected answer with correct length  int k = removeDuplicates(nums); // Calls your implementation  assert k == expectedNums.length; for (int i = 0; i < k; i++) {     assert nums[i] == expectedNums[i]; }  If all assertions pass, then your solution will be accepted.  ",remove-duplicates-from-sorted-array,Remove Duplicates from Sorted Array,"Array, Two Pointers",6
"Given the head of a linked list, remove the nth node from the end of the list and return its head.  ",remove-nth-node-from-end-of-list,Remove Nth Node From End of List,"Linked List, Two Pointers",6
"Given two numbers, hour and minutes, return the smaller angle (in degrees) formed between the hour and the minute hand. Answers within 10-5 of the actual value will be accepted as correct.  ",angle-between-hands-of-a-clock,Angle Between Hands of a Clock,Math,5
"Design a time-based key-value data structure that can store multiple values for the same key at different time stamps and retrieve the key's value at a certain timestamp. Implement the TimeMap class:  TimeMap() Initializes the object of the data structure. void set(String key, String value, int timestamp) Stores the key key with the value value at the given time timestamp. String get(String key, int timestamp) Returns a value such that set was called previously, with timestamp_prev <= timestamp. If there are multiple such values, it returns the value associated with the largest timestamp_prev. If there are no values, it returns """".   ",time-based-key-value-store,Time Based Key-Value Store,"Hash Table, String, Binary Search, Design",5
"Given an integer array nums sorted in non-decreasing order, return an array of the squares of each number sorted in non-decreasing order.  ",squares-of-a-sorted-array,Squares of a Sorted Array,"Array, Two Pointers, Sorting",5
"You are given an array representing a row of seats where seats[i] = 1 represents a person sitting in the ith seat, and seats[i] = 0 represents that the ith seat is empty (0-indexed). There is at least one empty seat, and at least one person sitting. Alex wants to sit in the seat such that the distance between him and the closest person to him is maximized.  Return that maximum distance to the closest person.  ",maximize-distance-to-closest-person,Maximize Distance to Closest Person,Array,5
"Given an array of integers temperatures represents the daily temperatures, return an array answer such that answer[i] is the number of days you have to wait after the ith day to get a warmer temperature. If there is no future day for which this is possible, keep answer[i] == 0 instead.  ",daily-temperatures,Daily Temperatures,"Array, Stack, Monotonic Stack",5
"Given two strings s1 and s2, return true if s2 contains a permutation of s1, or false otherwise. In other words, return true if one of s1's permutations is the substring of s2.  ",permutation-in-string,Permutation in String,"Hash Table, Two Pointers, String, Sliding Window",5
"Given a string s, reverse the order of characters in each word within a sentence while still preserving whitespace and initial word order.  ",reverse-words-in-a-string-iii,Reverse Words in a String III,"Two Pointers, String",5
"You are given a sorted array consisting of only integers where every element appears exactly twice, except for one element which appears exactly once. Return the single element that appears only once. Your solution must run in O(log n) time and O(1) space.  ",single-element-in-a-sorted-array,Single Element in a Sorted Array,"Array, Binary Search",5
Note: This is a companion problem to the System Design problem: Design TinyURL. TinyURL is a URL shortening service where you enter a URL such as https://leetcode.com/problems/design-tinyurl and it returns a short URL such as http://tinyurl.com/4e9iAk. Design a class to encode a URL and decode a tiny URL. There is no restriction on how your encode/decode algorithm should work. You just need to ensure that a URL can be encoded to a tiny URL and the tiny URL can be decoded to the original URL. Implement the Solution class:  Solution() Initializes the object of the system. String encode(String longUrl) Returns a tiny URL for the given longUrl. String decode(String shortUrl) Returns the original long URL for the given shortUrl. It is guaranteed that the given shortUrl was encoded by the same object.   ,encode-and-decode-tinyurl,Encode and Decode TinyURL,"Hash Table, String, Design, Hash Function",5
"Given an integer array nums of size n, return the minimum number of moves required to make all array elements equal. In one move, you can increment or decrement an element of the array by 1. Test cases are designed so that the answer will fit in a 32-bit integer.  ",minimum-moves-to-equal-array-elements-ii,Minimum Moves to Equal Array Elements II,"Array, Math, Sorting",5
"Given a string s, sort it in decreasing order based on the frequency of the characters. The frequency of a character is the number of times it appears in the string. Return the sorted string. If there are multiple answers, return any of them.  ",sort-characters-by-frequency,Sort Characters By Frequency,"Hash Table, String, Sorting, Heap (Priority Queue), Bucket Sort, Counting",5
"Given an integer array nums, return true if you can partition the array into two subsets such that the sum of the elements in both subsets is equal or false otherwise.  ",partition-equal-subset-sum,Partition Equal Subset Sum,"Array, Dynamic Programming",5
Write a function that reverses a string. The input string is given as an array of characters s. You must do this by modifying the input array in-place with O(1) extra memory.  ,reverse-string,Reverse String,"Two Pointers, String",5
"Given an integer array nums, return an integer array counts where counts[i] is the number of smaller elements to the right of nums[i].  ",count-of-smaller-numbers-after-self,Count of Smaller Numbers After Self,"Array, Binary Search, Divide and Conquer, Binary Indexed Tree, Segment Tree, Merge Sort, Ordered Set",5
Write an efficient algorithm that searches for a value target in an m x n integer matrix matrix. This matrix has the following properties:  Integers in each row are sorted in ascending from left to right. Integers in each column are sorted in ascending from top to bottom.   ,search-a-2d-matrix-ii,Search a 2D Matrix II,"Array, Binary Search, Divide and Conquer, Matrix",5
"Given a string s representing a valid expression, implement a basic calculator to evaluate it, and return the result of the evaluation. Note: You are not allowed to use any built-in function which evaluates strings as mathematical expressions, such as eval().  ",basic-calculator,Basic Calculator,"Math, String, Stack, Recursion",5
"A trie (pronounced as ""try"") or prefix tree is a tree data structure used to efficiently store and retrieve keys in a dataset of strings. There are various applications of this data structure, such as autocomplete and spellchecker. Implement the Trie class:  Trie() Initializes the trie object. void insert(String word) Inserts the string word into the trie. boolean search(String word) Returns true if the string word is in the trie (i.e., was inserted before), and false otherwise. boolean startsWith(String prefix) Returns true if there is a previously inserted string word that has the prefix prefix, and false otherwise.   ",implement-trie-prefix-tree,Implement Trie (Prefix Tree),"Hash Table, String, Design, Trie",5
"You are a professional robber planning to rob houses along a street. Each house has a certain amount of money stashed, the only constraint stopping you from robbing each of them is that adjacent houses have security systems connected and it will automatically contact the police if two adjacent houses were broken into on the same night. Given an integer array nums representing the amount of money of each house, return the maximum amount of money you can rob tonight without alerting the police.  ",house-robber,House Robber,"Array, Dynamic Programming",5
"Given a string s and a dictionary of strings wordDict, return true if s can be segmented into a space-separated sequence of one or more dictionary words. Note that the same word in the dictionary may be reused multiple times in the segmentation.  ",word-break,Word Break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization",5
"Given a non-empty array of integers nums, every element appears twice except for one. Find that single one. You must implement a solution with a linear runtime complexity and use only constant extra space.  ",single-number,Single Number,"Array, Bit Manipulation",5
"Given the root of a binary tree, check whether it is a mirror of itself (i.e., symmetric around its center).  ",symmetric-tree,Symmetric Tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",5
"Given the head of a singly linked list and two integers left and right where left <= right, reverse the nodes of the list from position left to position right, and return the reversed list.  ",reverse-linked-list-ii,Reverse Linked List II,Linked List,5
"Given a m x n grid filled with non-negative numbers, find a path from top left to bottom right, which minimizes the sum of all numbers along its path. Note: You can only move either down or right at any point in time.  ",minimum-path-sum,Minimum Path Sum,"Array, Dynamic Programming, Matrix",5
"Implement pow(x, n), which calculates x raised to the power n (i.e., xn).  ",powx-n,"Pow(x, n)","Math, Recursion",5
"Given an array nums of distinct integers, return all the possible permutations. You can return the answer in any order.  ",permutations,Permutations,"Array, Backtracking",5
Write a program to solve a Sudoku puzzle by filling the empty cells. A sudoku solution must satisfy all of the following rules:  Each of the digits 1-9 must occur exactly once in each row. Each of the digits 1-9 must occur exactly once in each column. Each of the digits 1-9 must occur exactly once in each of the 9 3x3 sub-boxes of the grid.  The '.' character indicates empty cells.  ,sudoku-solver,Sudoku Solver,"Array, Hash Table, Backtracking, Matrix",5
"Write a function to find the longest common prefix string amongst an array of strings. If there is no common prefix, return an empty string """".  ",longest-common-prefix,Longest Common Prefix,"String, Trie",5
"Roman numerals are represented by seven different symbols: I, V, X, L, C, D and M.  Symbol       Value I             1 V             5 X             10 L             50 C             100 D             500 M             1000 For example, 2 is written as II in Roman numeral, just two one's added together. 12 is written as XII, which is simply X + II. The number 27 is written as XXVII, which is XX + V + II. Roman numerals are usually written largest to smallest from left to right. However, the numeral for four is not IIII. Instead, the number four is written as IV. Because the one is before the five we subtract it making four. The same principle applies to the number nine, which is written as IX. There are six instances where subtraction is used:  I can be placed before V (5) and X (10) to make 4 and 9.  X can be placed before L (50) and C (100) to make 40 and 90.  C can be placed before D (500) and M (1000) to make 400 and 900.  Given an integer, convert it to a roman numeral.  ",integer-to-roman,Integer to Roman,"Hash Table, Math, String",5
"A string s is nice if, for every letter of the alphabet that s contains, it appears both in uppercase and lowercase. For example, ""abABB"" is nice because 'A' and 'a' appear, and 'B' and 'b' appear. However, ""abA"" is not because 'b' appears, but 'B' does not. Given a string s, return the longest substring of s that is nice. If there are multiple, return the substring of the earliest occurrence. If there are none, return an empty string.  ",longest-nice-substring,Longest Nice Substring,"Hash Table, String, Divide and Conquer, Bit Manipulation, Sliding Window",4
"Given a parentheses string s containing only the characters '(' and ')'. A parentheses string is balanced if:  Any left parenthesis '(' must have a corresponding two consecutive right parenthesis '))'. Left parenthesis '(' must go before the corresponding two consecutive right parenthesis '))'.  In other words, we treat '(' as an opening parenthesis and '))' as a closing parenthesis.  For example, ""())"", ""())(())))"" and ""(())())))"" are balanced, "")()"", ""()))"" and ""(()))"" are not balanced.  You can insert the characters '(' and ')' at any position of the string to balance it if needed. Return the minimum number of insertions needed to make s balanced.  ",minimum-insertions-to-balance-a-parentheses-string,Minimum Insertions to Balance a Parentheses String,"String, Stack, Greedy",4
"Given a string s of '(' , ')' and lowercase English characters. Your task is to remove the minimum number of parentheses ( '(' or ')', in any positions ) so that the resulting parentheses string is valid and return any valid string. Formally, a parentheses string is valid if and only if:  It is the empty string, contains only lowercase characters, or It can be written as AB (A concatenated with B), where A and B are valid strings, or It can be written as (A), where A is a valid string.   ",minimum-remove-to-make-valid-parentheses,Minimum Remove to Make Valid Parentheses,"String, Stack",4
"You are given the root of a binary tree with n nodes where each node in the tree has node.val coins. There are n coins in total throughout the whole tree. In one move, we may choose two adjacent nodes and move one coin from one node to another. A move may be from parent to child, or from child to parent. Return the minimum number of moves required to make every node have exactly one coin.  ",distribute-coins-in-binary-tree,Distribute Coins in Binary Tree,"Tree, Depth-First Search, Binary Tree",4
"We are given an array asteroids of integers representing asteroids in a row. For each asteroid, the absolute value represents its size, and the sign represents its direction (positive meaning right, negative meaning left). Each asteroid moves at the same speed. Find out the state of the asteroids after all collisions. If two asteroids meet, the smaller one will explode. If both are the same size, both will explode. Two asteroids moving in the same direction will never meet.  ",asteroid-collision,Asteroid Collision,"Array, Stack",4
"Given an array of integers nums which is sorted in ascending order, and an integer target, write a function to search target in nums. If target exists, then return its index. Otherwise, return -1. You must write an algorithm with O(log n) runtime complexity.  ",binary-search,Binary Search,"Array, Binary Search",4
"Design your implementation of the circular queue. The circular queue is a linear data structure in which the operations are performed based on FIFO (First In First Out) principle, and the last position is connected back to the first position to make a circle. It is also called ""Ring Buffer"". One of the benefits of the circular queue is that we can make use of the spaces in front of the queue. In a normal queue, once the queue becomes full, we cannot insert the next element even if there is a space in front of the queue. But using the circular queue, we can use the space to store new values. Implement the MyCircularQueue class:  MyCircularQueue(k) Initializes the object with the size of the queue to be k. int Front() Gets the front item from the queue. If the queue is empty, return -1. int Rear() Gets the last item from the queue. If the queue is empty, return -1. boolean enQueue(int value) Inserts an element into the circular queue. Return true if the operation is successful. boolean deQueue() Deletes an element from the circular queue. Return true if the operation is successful. boolean isEmpty() Checks whether the circular queue is empty or not. boolean isFull() Checks whether the circular queue is full or not.  You must solve the problem without using the built-in queue data structure in your programming language.   ",design-circular-queue,Design Circular Queue,"Array, Linked List, Design, Queue",4
"The Fibonacci numbers, commonly denoted F(n) form a sequence, called the Fibonacci sequence, such that each number is the sum of the two preceding ones, starting from 0 and 1. That is,  F(0) = 0, F(1) = 1 F(n) = F(n - 1) + F(n - 2), for n > 1.  Given n, calculate F(n).  ",fibonacci-number,Fibonacci Number,"Math, Dynamic Programming, Recursion, Memoization",4
"You are given two non-empty linked lists representing two non-negative integers. The most significant digit comes first and each of their nodes contains a single digit. Add the two numbers and return the sum as a linked list. You may assume the two numbers do not contain any leading zero, except the number 0 itself.  ",add-two-numbers-ii,Add Two Numbers II,"Linked List, Math, Stack",4
"Given an integer array nums of length n where all the integers of nums are in the range [1, n] and each integer appears once or twice, return an array of all the integers that appears twice. You must write an algorithm that runs in O(n) time and uses only constant extra space.  ",find-all-duplicates-in-an-array,Find All Duplicates in an Array,"Array, Hash Table",4
"Given an m x n matrix board where each cell is a battleship 'X' or empty '.', return the number of the battleships on board. Battleships can only be placed horizontally or vertically on board. In other words, they can only be made of the shape 1 x k (1 row, k columns) or k x 1 (k rows, 1 column), where k can be of any size. At least one horizontal or vertical cell separates between two battleships (i.e., there are no adjacent battleships).  ",battleships-in-a-board,Battleships in a Board,"Array, Depth-First Search, Matrix",4
"Given an n x n matrix where each of the rows and columns is sorted in ascending order, return the kth smallest element in the matrix. Note that it is the kth smallest element in the sorted order, not the kth distinct element. You must find a solution with a memory complexity better than O(n2).  ",kth-smallest-element-in-a-sorted-matrix,Kth Smallest Element in a Sorted Matrix,"Array, Binary Search, Sorting, Heap (Priority Queue), Matrix",4
"Given an integer n, count the total number of digit 1 appearing in all non-negative integers less than or equal to n.  ",number-of-digit-one,Number of Digit One,"Math, Dynamic Programming, Recursion",4
"A city's skyline is the outer contour of the silhouette formed by all the buildings in that city when viewed from a distance. Given the locations and heights of all the buildings, return the skyline formed by these buildings collectively. The geometric information of each building is given in the array buildings where buildings[i] = [lefti, righti, heighti]:  lefti is the x coordinate of the left edge of the ith building. righti is the x coordinate of the right edge of the ith building. heighti is the height of the ith building.  You may assume all buildings are perfect rectangles grounded on an absolutely flat surface at height 0. The skyline should be represented as a list of ""key points"" sorted by their x-coordinate in the form [[x1,y1],[x2,y2],...]. Each key point is the left endpoint of some horizontal segment in the skyline except the last point in the list, which always has a y-coordinate 0 and is used to mark the skyline's termination where the rightmost building ends. Any ground between the leftmost and rightmost buildings should be part of the skyline's contour. Note: There must be no consecutive horizontal lines of equal height in the output skyline. For instance, [...,[2 3],[4 5],[7 5],[11 5],[12 7],...] is not acceptable; the three lines of height 5 should be merged into one in the final output as such: [...,[2 3],[4 5],[12 7],...]  ",the-skyline-problem,The Skyline Problem,"Array, Divide and Conquer, Binary Indexed Tree, Segment Tree, Line Sweep, Heap (Priority Queue), Ordered Set",4
"Given an array of positive integers nums and a positive integer target, return the minimal length of a subarray whose sum is greater than or equal to target. If there is no such subarray, return 0 instead.  ",minimum-size-subarray-sum,Minimum Size Subarray Sum,"Array, Binary Search, Sliding Window, Prefix Sum",4
"Given an integer n, return the number of prime numbers that are strictly less than n.  ",count-primes,Count Primes,"Array, Math, Enumeration, Number Theory",4
"Given a list of non-negative integers nums, arrange them such that they form the largest number and return it. Since the result may be very large, so you need to return a string instead of an integer.  ",largest-number,Largest Number,"Array, String, Greedy, Sorting",4
"Given an integer columnNumber, return its corresponding column title as it appears in an Excel sheet. For example:  A -> 1 B -> 2 C -> 3 ... Z -> 26 AA -> 27 AB -> 28  ...   ",excel-sheet-column-title,Excel Sheet Column Title,"Math, String",4
"Given two version numbers, version1 and version2, compare them.   Version numbers consist of one or more revisions joined by a dot '.'. Each revision consists of digits and may contain leading zeros. Every revision contains at least one character. Revisions are 0-indexed from left to right, with the leftmost revision being revision 0, the next revision being revision 1, and so on. For example 2.5.33 and 0.1 are valid version numbers. To compare version numbers, compare their revisions in left-to-right order. Revisions are compared using their integer value ignoring any leading zeros. This means that revisions 1 and 001 are considered equal. If a version number does not specify a revision at an index, then treat the revision as 0. For example, version 1.0 is less than version 1.1 because their revision 0s are the same, but their revision 1s are 0 and 1 respectively, and 0 < 1. Return the following:  If version1 < version2, return -1. If version1 > version2, return 1. Otherwise, return 0.   ",compare-version-numbers,Compare Version Numbers,"Two Pointers, String",4
You are given the head of a singly linked-list. The list can be represented as:  L0 → L1 → … → Ln - 1 → Ln  Reorder the list to be on the following form:  L0 → Ln → L1 → Ln - 1 → L2 → Ln - 2 → …  You may not modify the values in the list's nodes. Only nodes themselves may be changed.  ,reorder-list,Reorder List,"Linked List, Two Pointers, Stack, Recursion",4
"Given a reference of a node in a connected undirected graph. Return a deep copy (clone) of the graph. Each node in the graph contains a value (int) and a list (List[Node]) of its neighbors.  class Node {     public int val;     public List<Node> neighbors; }    Test case format: For simplicity, each node's value is the same as the node's index (1-indexed). For example, the first node with val == 1, the second node with val == 2, and so on. The graph is represented in the test case using an adjacency list. An adjacency list is a collection of unordered lists used to represent a finite graph. Each list describes the set of neighbors of a node in the graph. The given node will always be the first node with val = 1. You must return the copy of the given node as a reference to the cloned graph.  ",clone-graph,Clone Graph,"Hash Table, Depth-First Search, Breadth-First Search, Graph",4
"You are given the root of a binary tree containing digits from 0 to 9 only. Each root-to-leaf path in the tree represents a number.  For example, the root-to-leaf path 1 -> 2 -> 3 represents the number 123.  Return the total sum of all root-to-leaf numbers. Test cases are generated so that the answer will fit in a 32-bit integer. A leaf node is a node with no children.  ",sum-root-to-leaf-numbers,Sum Root to Leaf Numbers,"Tree, Depth-First Search, Binary Tree",4
"Given an integer numRows, return the first numRows of Pascal's triangle. In Pascal's triangle, each number is the sum of the two numbers directly above it as shown:   ",pascals-triangle,Pascal's Triangle,"Array, Dynamic Programming",4
"Given two integer arrays preorder and inorder where preorder is the preorder traversal of a binary tree and inorder is the inorder traversal of the same tree, construct and return the binary tree.  ",construct-binary-tree-from-preorder-and-inorder-traversal,Construct Binary Tree from Preorder and Inorder Traversal,"Array, Hash Table, Divide and Conquer, Tree, Binary Tree",4
"You are given the root of a binary search tree (BST), where the values of exactly two nodes of the tree were swapped by mistake. Recover the tree without changing its structure.  ",recover-binary-search-tree,Recover Binary Search Tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree",4
"Given an integer n, return all the structurally unique BST's (binary search trees), which has exactly n nodes of unique values from 1 to n. Return the answer in any order.  ",unique-binary-search-trees-ii,Unique Binary Search Trees II,"Dynamic Programming, Backtracking, Tree, Binary Search Tree, Binary Tree",4
"Given the root of a binary tree, return the inorder traversal of its nodes' values.  ",binary-tree-inorder-traversal,Binary Tree Inorder Traversal,"Stack, Tree, Depth-First Search, Binary Tree",4
"A message containing letters from A-Z can be encoded into numbers using the following mapping:  'A' -> ""1"" 'B' -> ""2"" ... 'Z' -> ""26""  To decode an encoded message, all the digits must be grouped then mapped back into letters using the reverse of the mapping above (there may be multiple ways). For example, ""11106"" can be mapped into:  ""AAJF"" with the grouping (1 1 10 6) ""KJF"" with the grouping (11 10 6)  Note that the grouping (1 11 06) is invalid because ""06"" cannot be mapped into 'F' since ""6"" is different from ""06"". Given a string s containing only digits, return the number of ways to decode it. The test cases are generated so that the answer fits in a 32-bit integer.  ",decode-ways,Decode Ways,"String, Dynamic Programming",4
"Given the head of a linked list, rotate the list to the right by k places.  ",rotate-list,Rotate List,"Linked List, Two Pointers",4
"The n-queens puzzle is the problem of placing n queens on an n x n chessboard such that no two queens attack each other. Given an integer n, return all distinct solutions to the n-queens puzzle. You may return the answer in any order. Each solution contains a distinct board configuration of the n-queens' placement, where 'Q' and '.' both indicate a queen and an empty space, respectively.  ",n-queens,N-Queens,"Array, Backtracking",4
"Given an array nums of n integers, return an array of all the unique quadruplets [nums[a], nums[b], nums[c], nums[d]] such that:  0 <= a, b, c, d < n a, b, c, and d are distinct. nums[a] + nums[b] + nums[c] + nums[d] == target  You may return the answer in any order.  ",4sum,4Sum,"Array, Two Pointers, Sorting",4
"Given two strings s and part, perform the following operation on s until all occurrences of the substring part are removed:  Find the leftmost occurrence of the substring part and remove it from s.  Return s after removing all occurrences of part. A substring is a contiguous sequence of characters in a string.  ",remove-all-occurrences-of-a-substring,Remove All Occurrences of a Substring,String,3
"Given an array of integers nums, return the number of good pairs. A pair (i, j) is called good if nums[i] == nums[j] and i < j.  ",number-of-good-pairs,Number of Good Pairs,"Array, Hash Table, Math, Counting",3
"There is a car with capacity empty seats. The vehicle only drives east (i.e., it cannot turn around and drive west). You are given the integer capacity and an array trips where trips[i] = [numPassengersi, fromi, toi] indicates that the ith trip has numPassengersi passengers and the locations to pick them up and drop them off are fromi and toi respectively. The locations are given as the number of kilometers due east from the car's initial location. Return true if it is possible to pick up and drop off all passengers for all the given trips, or false otherwise.  ",car-pooling,Car Pooling,"Array, Sorting, Heap (Priority Queue), Simulation, Prefix Sum",3
"You have n  tiles, where each tile has one letter tiles[i] printed on it. Return the number of possible non-empty sequences of letters you can make using the letters printed on those tiles.  ",letter-tile-possibilities,Letter Tile Possibilities,"Hash Table, String, Backtracking, Counting",3
"Given an array of integers preorder, which represents the preorder traversal of a BST (i.e., binary search tree), construct the tree and return its root. It is guaranteed that there is always possible to find a binary search tree with the given requirements for the given test cases. A binary search tree is a binary tree where for every node, any descendant of Node.left has a value strictly less than Node.val, and any descendant of Node.right has a value strictly greater than Node.val. A preorder traversal of a binary tree displays the value of the node first, then traverses Node.left, then traverses Node.right.  ",construct-binary-search-tree-from-preorder-traversal,Construct Binary Search Tree from Preorder Traversal,"Array, Stack, Tree, Binary Search Tree, Monotonic Stack, Binary Tree",3
"Given a binary array nums and an integer k, return the maximum number of consecutive 1's in the array if you can flip at most k 0's.  ",max-consecutive-ones-iii,Max Consecutive Ones III,"Array, Binary Search, Sliding Window, Prefix Sum",3
"A parentheses string is valid if and only if:  It is the empty string, It can be written as AB (A concatenated with B), where A and B are valid strings, or It can be written as (A), where A is a valid string.  You are given a parentheses string s. In one move, you can insert a parenthesis at any position of the string.  For example, if s = ""()))"", you can insert an opening parenthesis to be ""(()))"" or a closing parenthesis to be ""())))"".  Return the minimum number of moves required to make s valid.  ",minimum-add-to-make-parentheses-valid,Minimum Add to Make Parentheses Valid,"String, Stack, Greedy",3
"Given a string s, return true if the s can be palindrome after deleting at most one character from it.  ",valid-palindrome-ii,Valid Palindrome II,"Two Pointers, String, Greedy",3
"Given the root of a binary tree, return the maximum width of the given tree. The maximum width of a tree is the maximum width among all levels. The width of one level is defined as the length between the end-nodes (the leftmost and rightmost non-null nodes), where the null nodes between the end-nodes that would be present in a complete binary tree extending down to that level are also counted into the length calculation. It is guaranteed that the answer will in the range of a 32-bit signed integer.  ",maximum-width-of-binary-tree,Maximum Width of Binary Tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",3
"There is only one character 'A' on the screen of a notepad. You can perform one of two operations on this notepad for each step:  Copy All: You can copy all the characters present on the screen (a partial copy is not allowed). Paste: You can paste the characters which are copied last time.  Given an integer n, return the minimum number of operations to get the character 'A' exactly n times on the screen.  ",2-keys-keyboard,2 Keys Keyboard,"Math, Dynamic Programming",3
